Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAN,0.149,100,1,1124.0
Bayesian_UCB,MUDAN,0.148,100,1,846.0
TH,MUDAN,0.948,100,1,1091.0
UCB,MUDAN,0.149,100,2,1583.0
Bayesian_UCB,MUDAN,0.148,100,2,1479.0
TH,MUDAN,0.946,100,2,1883.0
UCB,MUDAN,0.153,100,3,1901.0
Bayesian_UCB,MUDAN,0.15,100,3,2397.0
TH,MUDAN,0.95,100,3,2606.0
UCB,MUDAN,0.15,100,4,2684.0
Bayesian_UCB,MUDAN,0.149,100,4,2844.0
TH,MUDAN,0.988,100,4,2671.0
UCB,MUDAN,0.162,100,5,3306.0
Bayesian_UCB,MUDAN,0.167,100,5,4255.0
TH,MUDAN,0.975,100,5,2105.0
