Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAR,204.064,80000,1,12643427.877016896
Bayesian_UCB,MUDAR,196.128,80000,1,10256810.272208184
TH,MUDAR,851.153,80000,1,10383180.889373552
UCB,MUDAR,197.525,80000,2,9738898.854637783
Bayesian_UCB,MUDAR,199.656,80000,2,8795742.203674154
TH,MUDAR,827.21,80000,2,9107809.459256569
UCB,MUDAR,193.589,80000,3,8929778.377145942
Bayesian_UCB,MUDAR,201.507,80000,3,8058312.897458276
TH,MUDAR,833.153,80000,3,7968193.732049364
UCB,MUDAR,204.475,80000,4,8430468.924984299
Bayesian_UCB,MUDAR,215.332,80000,4,7419156.996909802
TH,MUDAR,846.117,80000,4,6841451.638175125
UCB,MUDAR,205.886,80000,5,8378760.902682138
Bayesian_UCB,MUDAR,202.746,80000,5,6818564.991892139
TH,MUDAR,860.364,80000,5,6597230.150118829
