Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAR,193.147,80000,1,11613611.12476054
Bayesian_UCB,MUDAR,194.034,80000,1,9554387.011719828
EPS,MUDAR,139.25,80000,1,9157704.239583405
TH,MUDAR,820.893,80000,1,9938262.768826466
UCB,MUDAR,195.864,80000,2,10265581.66660314
Bayesian_UCB,MUDAR,198.656,80000,2,8977557.181747217
EPS,MUDAR,143.332,80000,2,7973257.580637905
TH,MUDAR,830.645,80000,2,8494406.469986605
UCB,MUDAR,199.641,80000,3,9706001.699377052
Bayesian_UCB,MUDAR,198.606,80000,3,7987903.3298991155
EPS,MUDAR,147.237,80000,3,7211145.8460338
TH,MUDAR,839.669,80000,3,7618400.239907029
UCB,MUDAR,201.548,80000,4,8536424.957549836
Bayesian_UCB,MUDAR,205.477,80000,4,7671346.020157697
EPS,MUDAR,140.046,80000,4,6457786.901334089
TH,MUDAR,837.862,80000,4,7478243.797989912
UCB,MUDAR,205.331,80000,5,7825974.090629617
Bayesian_UCB,MUDAR,205.52,80000,5,7020763.324723019
EPS,MUDAR,146.455,80000,5,5993490.094262163
TH,MUDAR,839.181,80000,5,6781190.4470987525
