,Bandit,Auction,Time (s),T,k,Revenue
0,UCB,MUDAN,218.291,80000,1,881027.0
1,UCB,MUDAR,204.064,80000,1,12643427.877016896
2,UCB,GIDM,183.65,80000,1,1334561.0
3,TH,MUDAN,869.775,80000,2,1516978.0
4,UCB,MUDAR,197.525,80000,2,9738898.854637785
5,UCB,GIDM,196.437,80000,2,1849378.0
6,UCB,MUDAN,208.406,80000,3,2052550.0
7,UCB,MUDAR,193.589,80000,3,8929778.377145942
8,UCB,GIDM,195.616,80000,3,2163322.0
9,UCB,MUDAN,206.984,80000,4,2432522.0
10,UCB,MUDAR,204.475,80000,4,8430468.924984299
11,UCB,GIDM,202.768,80000,4,2494297.0
12,UCB,MUDAN,208.514,80000,5,2801173.0
13,UCB,MUDAR,205.886,80000,5,8378760.902682138
14,UCB,GIDM,208.719,80000,5,2722263.0
