,Bandit,Auction,Time (s),T,k,Revenue
0,UCB,MUDAN,225.247,80000,1,1052162.0
1,UCB,MUDAR,193.147,80000,1,11613611.12476054
2,UCB,GIDM,185.246,80000,1,1501343.0
3,UCB,MUDAN,206.789,80000,2,1560810.0
4,UCB,MUDAR,195.864,80000,2,10265581.66660314
5,UCB,GIDM,201.705,80000,2,1947706.0
6,UCB,MUDAN,200.935,80000,3,2198663.0
7,UCB,MUDAR,199.641,80000,3,9706001.699377052
8,UCB,GIDM,194.846,80000,3,2406461.0
9,UCB,MUDAN,201.576,80000,4,2554246.0
10,UCB,MUDAR,201.548,80000,4,8536424.957549836
11,UCB,GIDM,206.756,80000,4,2707041.0
12,UCB,MUDAN,213.688,80000,5,2850161.0
13,UCB,MUDAR,205.331,80000,5,7825974.090629617
14,UCB,GIDM,217.141,80000,5,3022707.0
