Bandit,Auction,Time (s),T,k,Revenue
UCB,IDM,36.956,20000,1,266219.0
Bayesian_UCB,IDM,36.264,20000,1,270109.0
Bayesian_UCB,IDM,37.421,20000,1,272151.0
EPS,IDM,27.953,20000,1,266381.0
TH,IDM,201.237,20000,1,299472.0
UCB,IDM,34.858,20000,2,595790.0
Bayesian_UCB,IDM,35.44,20000,2,609314.0
Bayesian_UCB,IDM,35.136,20000,2,609431.0
EPS,IDM,24.604,20000,2,598092.0
TH,IDM,199.967,20000,2,693290.0
UCB,IDM,34.46,20000,3,1033779.0
Bayesian_UCB,IDM,34.119,20000,3,967944.0
Bayesian_UCB,IDM,35.238,20000,3,1027107.0
EPS,IDM,26.952,20000,3,1021569.0
TH,IDM,201.942,20000,3,966498.0
UCB,IDM,34.988,20000,4,1390903.0
Bayesian_UCB,IDM,34.939,20000,4,1390348.0
Bayesian_UCB,IDM,36.421,20000,4,1401446.0
EPS,IDM,26.113,20000,4,1365981.0
TH,IDM,202.544,20000,4,1532951.0
UCB,IDM,35.87,20000,5,1709085.0
Bayesian_UCB,IDM,36.224,20000,5,1644127.0
Bayesian_UCB,IDM,36.407,20000,5,1656204.0
EPS,IDM,27.395,20000,5,1688286.0
TH,IDM,202.048,20000,5,1985440.0
