Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAN,35.687,20000,1,183489.0
Bayesian_UCB,MUDAN,34.429,20000,1,176375.0
Bayesian_UCB,MUDAN,36.432,20000,1,181320.0
EPS,MUDAN,26.65,20000,1,183621.0
TH,MUDAN,201.506,20000,1,177039.0
UCB,MUDAN,35.608,20000,2,305579.0
Bayesian_UCB,MUDAN,34.292,20000,2,303410.0
Bayesian_UCB,MUDAN,36.449,20000,2,305185.0
EPS,MUDAN,24.805,20000,2,310653.0
TH,MUDAN,196.301,20000,2,340731.0
UCB,MUDAN,34.416,20000,3,426591.0
Bayesian_UCB,MUDAN,34.011,20000,3,429510.0
Bayesian_UCB,MUDAN,34.993,20000,3,431987.0
EPS,MUDAN,25.679,20000,3,424961.0
TH,MUDAN,199.68,20000,3,439119.0
UCB,MUDAN,33.776,20000,4,508811.0
Bayesian_UCB,MUDAN,33.707,20000,4,526143.0
Bayesian_UCB,MUDAN,33.845,20000,4,523870.0
EPS,MUDAN,23.701,20000,4,507393.0
TH,MUDAN,195.8,20000,4,585974.0
UCB,MUDAN,36.018,20000,5,598163.0
Bayesian_UCB,MUDAN,34.576,20000,5,589403.0
Bayesian_UCB,MUDAN,34.033,20000,5,588395.0
EPS,MUDAN,24.221,20000,5,561410.0
TH,MUDAN,198.267,20000,5,667848.0
