Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAR,33.215,20000,1,808932
Bayesian_UCB,MUDAR,35.218,20000,1,806213
Bayesian_UCB,MUDAR,32.812,20000,1,796431
EPS,MUDAR,21.994,20000,1,774783
TH,MUDAR,199.596,20000,1,971365
UCB,MUDAR,34.631,20000,2,600529
Bayesian_UCB,MUDAR,33.224,20000,2,591356
Bayesian_UCB,MUDAR,32.186,20000,2,601404
EPS,MUDAR,22.147,20000,2,611533
TH,MUDAR,195.801,20000,2,655342
UCB,MUDAR,32.716,20000,3,481053
Bayesian_UCB,MUDAR,31.812,20000,3,461731
Bayesian_UCB,MUDAR,31.936,20000,3,481182
EPS,MUDAR,21.848,20000,3,468565
TH,MUDAR,199.505,20000,3,601214
UCB,MUDAR,31.749,20000,4,369435
Bayesian_UCB,MUDAR,33.248,20000,4,363280
Bayesian_UCB,MUDAR,33.462,20000,4,366598
EPS,MUDAR,22.651,20000,4,366625
TH,MUDAR,195.57,20000,4,518308
UCB,MUDAR,31.262,20000,5,272479
Bayesian_UCB,MUDAR,31.892,20000,5,277800
Bayesian_UCB,MUDAR,31.861,20000,5,269198
EPS,MUDAR,22.24,20000,5,274024
TH,MUDAR,197.599,20000,5,459196
