Bandit,Auction,Time (s),T,k,Revenue
UCB,VCG,33.447,20000,1,23533
Bayesian_UCB,VCG,37.897,20000,1,23049
Bayesian_UCB,VCG,35.206,20000,1,24278
EPS,VCG,24.964,20000,1,20812
TH,VCG,200.161,20000,1,22068
UCB,VCG,35.113,20000,2,-415513
Bayesian_UCB,VCG,35.428,20000,2,-399004
Bayesian_UCB,VCG,34.938,20000,2,-403469
EPS,VCG,24.968,20000,2,-417258
TH,VCG,200.789,20000,2,-421282
UCB,VCG,34.537,20000,3,-1039993
Bayesian_UCB,VCG,35.002,20000,3,-1009623
Bayesian_UCB,VCG,38.592,20000,3,-1019802
EPS,VCG,25.863,20000,3,-1006438
TH,VCG,197.22,20000,3,-1026106
UCB,VCG,33.345,20000,4,-1666110
Bayesian_UCB,VCG,33.471,20000,4,-1686962
Bayesian_UCB,VCG,34.013,20000,4,-1678005
EPS,VCG,23.385,20000,4,-1693835
TH,VCG,199.022,20000,4,-1764900
UCB,VCG,34.009,20000,5,-2393836
Bayesian_UCB,VCG,34.761,20000,5,-2418636
Bayesian_UCB,VCG,35.208,20000,5,-2402097
EPS,VCG,23.554,20000,5,-2403072
TH,VCG,202.17,20000,5,-2442948
