Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAN,32.122,20000,1,177783.0
Bayesian_UCB,MUDAN,32.957,20000,1,175200.0
EPS,MUDAN,21.894,20000,1,180727.0
TH,MUDAN,195.285,20000,1,206476.0
UCB,MUDAN,34.735,20000,4,511138.0
Bayesian_UCB,MUDAN,34.724,20000,4,506054.0
EPS,MUDAN,23.014,20000,4,511457.0
TH,MUDAN,198.461,20000,4,577931.0
UCB,MUDAN,41.088,20000,20,383783.0
Bayesian_UCB,MUDAN,39.626,20000,20,394210.0
EPS,MUDAN,25.159,20000,20,391196.0
TH,MUDAN,209.836,20000,20,463424.0
UCB,MUDAN,38.162,20000,50,37451.0
Bayesian_UCB,MUDAN,42.059,20000,50,43978.0
EPS,MUDAN,30.141,20000,50,35047.0
TH,MUDAN,218.776,20000,50,30987.0
