Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAN,31.968,20000,1,183432.0
Bayesian_UCB,MUDAN,32.156,20000,1,180592.0
Bayesian_UCB,MUDAN,32.334,20000,1,183487.0
EPS,MUDAN,22.164,20000,1,179416.0
TH,MUDAN,198.876,20000,1,219719.0
UCB,MUDAN,33.234,20000,2,313359.0
Bayesian_UCB,MUDAN,33.202,20000,2,316474.0
Bayesian_UCB,MUDAN,33.04,20000,2,307730.0
EPS,MUDAN,22.813,20000,2,304353.0
TH,MUDAN,198.086,20000,2,337844.0
UCB,MUDAN,32.555,20000,3,428716.0
Bayesian_UCB,MUDAN,32.6,20000,3,420999.0
Bayesian_UCB,MUDAN,32.73,20000,3,422296.0
EPS,MUDAN,22.347,20000,3,423424.0
TH,MUDAN,197.137,20000,3,466938.0
UCB,MUDAN,32.359,20000,4,513122.0
Bayesian_UCB,MUDAN,32.997,20000,4,512364.0
Bayesian_UCB,MUDAN,32.903,20000,4,522250.0
EPS,MUDAN,22.459,20000,4,505169.0
TH,MUDAN,194.446,20000,4,519366.0
UCB,MUDAN,33.208,20000,5,572913.0
Bayesian_UCB,MUDAN,33.241,20000,5,566722.0
Bayesian_UCB,MUDAN,33.332,20000,5,582627.0
EPS,MUDAN,23.025,20000,5,575806.0
TH,MUDAN,192.318,20000,5,621659.0
