Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAN,63.103,60000,1,817090.0,pagerank
Bayesian_UCB,MUDAN,62.91,60000,1,666254.0,pagerank
Bayesian_UCB_prior,MUDAN,65.593,60000,1,658433.0,pagerank
EPS,MUDAN,75.786,60000,1,750010.0,pagerank
TH,MUDAN,69.873,60000,1,682513.0,pagerank
TH_prior,MUDAN,58.374,60000,1,626867.0,pagerank
UCB,MUDAN,90.918,60000,4,2383976.0,pagerank
Bayesian_UCB,MUDAN,53.724,60000,4,1935447.0,pagerank
Bayesian_UCB_prior,MUDAN,61.338,60000,4,1837412.0,pagerank
EPS,MUDAN,60.241,60000,4,2038211.0,pagerank
TH,MUDAN,68.395,60000,4,1924173.0,pagerank
TH_prior,MUDAN,66.573,60000,4,1962444.0,pagerank
UCB,MUDAN,74.9,60000,20,2728117.0,pagerank
Bayesian_UCB,MUDAN,59.392,60000,20,1888098.0,pagerank
Bayesian_UCB_prior,MUDAN,70.11,60000,20,1528506.0,pagerank
EPS,MUDAN,69.974,60000,20,1980973.0,pagerank
TH,MUDAN,79.725,60000,20,1664276.0,pagerank
TH_prior,MUDAN,61.077,60000,20,1613758.0,pagerank
UCB,MUDAN,72.662,60000,50,229421.0,pagerank
Bayesian_UCB,MUDAN,70.149,60000,50,34827.0,pagerank
Bayesian_UCB_prior,MUDAN,64.055,60000,50,205849.0,pagerank
EPS,MUDAN,66.096,60000,50,197507.0,pagerank
TH,MUDAN,71.55,60000,50,126950.0,pagerank
TH_prior,MUDAN,72.448,60000,50,117931.0,pagerank
UCB,MUDAN,70.337,60000,1,797877.0,degree
Bayesian_UCB,MUDAN,60.374,60000,1,704889.0,degree
Bayesian_UCB_prior,MUDAN,61.67,60000,1,680791.0,degree
EPS,MUDAN,52.725,60000,1,740053.0,degree
TH,MUDAN,60.774,60000,1,679931.0,degree
TH_prior,MUDAN,62.273,60000,1,643680.0,degree
UCB,MUDAN,56.732,60000,4,2407440.0,degree
Bayesian_UCB,MUDAN,62.127,60000,4,2013351.0,degree
Bayesian_UCB_prior,MUDAN,58.117,60000,4,2063450.0,degree
EPS,MUDAN,58.578,60000,4,2119718.0,degree
TH,MUDAN,67.63,60000,4,2020061.0,degree
TH_prior,MUDAN,65.41,60000,4,2099484.0,degree
UCB,MUDAN,58.553,60000,20,1844895.0,degree
Bayesian_UCB,MUDAN,62.008,60000,20,1837743.0,degree
Bayesian_UCB_prior,MUDAN,64.255,60000,20,1789581.0,degree
EPS,MUDAN,77.858,60000,20,2079951.0,degree
TH,MUDAN,65.761,60000,20,1991694.0,degree
TH_prior,MUDAN,68.88,60000,20,1955412.0,degree
UCB,MUDAN,58.066,60000,50,203416.0,degree
Bayesian_UCB,MUDAN,74.778,60000,50,132938.0,degree
Bayesian_UCB_prior,MUDAN,70.656,60000,50,158133.0,degree
EPS,MUDAN,61.422,60000,50,175596.0,degree
TH,MUDAN,74.046,60000,50,180955.0,degree
TH_prior,MUDAN,62.96,60000,50,167553.0,degree
UCB,MUDAN,62.835,60000,1,842842.0,voterank
Bayesian_UCB,MUDAN,60.189,60000,1,708034.0,voterank
Bayesian_UCB_prior,MUDAN,57.246,60000,1,673653.0,voterank
EPS,MUDAN,60.426,60000,1,737876.0,voterank
TH,MUDAN,67.957,60000,1,685549.0,voterank
TH_prior,MUDAN,67.099,60000,1,676338.0,voterank
