Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAR,31.048,20000,1,789527
Bayesian_UCB,MUDAR,33.34,20000,1,779776
EPS,MUDAR,21.572,20000,1,777295
TH,MUDAR,197.665,20000,1,963148
UCB,MUDAR,30.922,20000,4,354026
Bayesian_UCB,MUDAR,31.134,20000,4,365084
EPS,MUDAR,21.186,20000,4,343529
TH,MUDAR,195.111,20000,4,509888
UCB,MUDAR,30.655,20000,20,2621
Bayesian_UCB,MUDAR,31.455,20000,20,830
EPS,MUDAR,20.874,20000,20,3430
TH,MUDAR,201.762,20000,20,9407
UCB,MUDAR,30.799,20000,50,0
Bayesian_UCB,MUDAR,31.546,20000,50,0
EPS,MUDAR,19.488,20000,50,0
TH,MUDAR,200.795,20000,50,0
