Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAR,30.68,20000,1,795808
Bayesian_UCB,MUDAR,31.899,20000,1,769449
Bayesian_UCB,MUDAR,31.12,20000,1,815703
EPS,MUDAR,20.851,20000,1,793761
TH,MUDAR,195.492,20000,1,1064100
UCB,MUDAR,30.582,20000,2,592637
Bayesian_UCB,MUDAR,30.597,20000,2,592970
Bayesian_UCB,MUDAR,30.736,20000,2,609204
EPS,MUDAR,21.071,20000,2,587883
TH,MUDAR,191.997,20000,2,659904
UCB,MUDAR,30.738,20000,3,459681
Bayesian_UCB,MUDAR,30.79,20000,3,487798
Bayesian_UCB,MUDAR,30.779,20000,3,461121
EPS,MUDAR,20.857,20000,3,462592
TH,MUDAR,191.385,20000,3,604556
UCB,MUDAR,30.009,20000,4,366176
Bayesian_UCB,MUDAR,30.382,20000,4,354601
Bayesian_UCB,MUDAR,30.729,20000,4,364582
EPS,MUDAR,20.85,20000,4,351676
TH,MUDAR,195.398,20000,4,471572
UCB,MUDAR,30.165,20000,5,263616
Bayesian_UCB,MUDAR,30.316,20000,5,274921
Bayesian_UCB,MUDAR,30.464,20000,5,280287
EPS,MUDAR,20.698,20000,5,285858
TH,MUDAR,190.757,20000,5,436141
