Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAR,34.223,60000,1,4363949,pagerank
Bayesian_UCB,MUDAR,43.684,60000,1,4086191,pagerank
Bayesian_UCB_prior,MUDAR,38.855,60000,1,3978055,pagerank
EPS,MUDAR,42.502,60000,1,4416314,pagerank
TH,MUDAR,41.471,60000,1,3921706,pagerank
TH_prior,MUDAR,46.998,60000,1,4182100,pagerank
UCB,MUDAR,50.527,60000,4,2635839,pagerank
Bayesian_UCB,MUDAR,54.124,60000,4,2219393,pagerank
Bayesian_UCB_prior,MUDAR,51.85,60000,4,2422619,pagerank
EPS,MUDAR,46.844,60000,4,2496302,pagerank
TH,MUDAR,50.154,60000,4,2098505,pagerank
TH_prior,MUDAR,45.43,60000,4,2138794,pagerank
UCB,MUDAR,33.951,60000,20,46295,pagerank
Bayesian_UCB,MUDAR,55.15,60000,20,38967,pagerank
Bayesian_UCB_prior,MUDAR,45.497,60000,20,47816,pagerank
EPS,MUDAR,45.991,60000,20,57703,pagerank
TH,MUDAR,49.637,60000,20,26681,pagerank
TH_prior,MUDAR,61.534,60000,20,50082,pagerank
UCB,MUDAR,46.359,60000,50,0,pagerank
Bayesian_UCB,MUDAR,62.299,60000,50,0,pagerank
Bayesian_UCB_prior,MUDAR,50.869,60000,50,0,pagerank
EPS,MUDAR,54.904,60000,50,0,pagerank
TH,MUDAR,50.077,60000,50,0,pagerank
TH_prior,MUDAR,44.342,60000,50,0,pagerank
UCB,MUDAR,58.325,60000,1,4906408,degree
Bayesian_UCB,MUDAR,53.947,60000,1,3972280,degree
Bayesian_UCB_prior,MUDAR,41.558,60000,1,3799083,degree
EPS,MUDAR,55.397,60000,1,4236516,degree
TH,MUDAR,49.423,60000,1,4117130,degree
TH_prior,MUDAR,54.169,60000,1,4046203,degree
UCB,MUDAR,52.149,60000,4,2723097,degree
Bayesian_UCB,MUDAR,52.542,60000,4,2347871,degree
Bayesian_UCB_prior,MUDAR,48.61,60000,4,2722383,degree
EPS,MUDAR,49.652,60000,4,2603905,degree
TH,MUDAR,48.254,60000,4,2315975,degree
TH_prior,MUDAR,55.985,60000,4,2365433,degree
UCB,MUDAR,32.946,60000,20,74747,degree
Bayesian_UCB,MUDAR,45.959,60000,20,20081,degree
Bayesian_UCB_prior,MUDAR,49.2,60000,20,67780,degree
EPS,MUDAR,48.263,60000,20,41436,degree
TH,MUDAR,46.762,60000,20,51303,degree
TH_prior,MUDAR,52.424,60000,20,53182,degree
UCB,MUDAR,51.817,60000,50,0,degree
Bayesian_UCB,MUDAR,45.204,60000,50,0,degree
Bayesian_UCB_prior,MUDAR,45.671,60000,50,0,degree
EPS,MUDAR,41.494,60000,50,0,degree
TH,MUDAR,43.672,60000,50,0,degree
TH_prior,MUDAR,44.579,60000,50,0,degree
UCB,MUDAR,47.937,60000,1,5194558,voterank
Bayesian_UCB,MUDAR,49.935,60000,1,4477854,voterank
Bayesian_UCB_prior,MUDAR,52.233,60000,1,4232310,voterank
EPS,MUDAR,45.783,60000,1,4325397,voterank
TH,MUDAR,51.266,60000,1,3770521,voterank
TH_prior,MUDAR,43.508,60000,1,3772407,voterank
UCB,MUDAR,44.453,60000,4,2538226,voterank
Bayesian_UCB,MUDAR,50.434,60000,4,2465225,voterank
Bayesian_UCB_prior,MUDAR,56.782,60000,4,2331789,voterank
EPS,MUDAR,54.046,60000,4,2597718,voterank
TH,MUDAR,37.836,60000,4,1999790,voterank
TH_prior,MUDAR,44.568,60000,4,2333543,voterank
UCB,MUDAR,55.781,60000,20,47682,voterank
Bayesian_UCB,MUDAR,26.455,60000,20,51824,voterank
Bayesian_UCB_prior,MUDAR,56.778,60000,20,39236,voterank
EPS,MUDAR,42.788,60000,20,39778,voterank
TH,MUDAR,58.079,60000,20,50619,voterank
TH_prior,MUDAR,50.802,60000,20,44980,voterank
UCB,MUDAR,49.604,60000,50,0,voterank
Bayesian_UCB,MUDAR,27.388,60000,50,0,voterank
Bayesian_UCB_prior,MUDAR,16.557,60000,50,0,voterank
EPS,MUDAR,28.3,60000,50,0,voterank
TH,MUDAR,45.986,60000,50,0,voterank
TH_prior,MUDAR,48.956,60000,50,0,voterank
UCB,MUDAR,26.239,60000,1,5203202,shapley_degree
Bayesian_UCB,MUDAR,62.196,60000,1,3640299,shapley_degree
Bayesian_UCB_prior,MUDAR,52.029,60000,1,4079681,shapley_degree
EPS,MUDAR,50.609,60000,1,4370602,shapley_degree
TH,MUDAR,55.331,60000,1,3601925,shapley_degree
TH_prior,MUDAR,62.901,60000,1,4102063,shapley_degree
UCB,MUDAR,73.111,60000,4,2866362,shapley_degree
Bayesian_UCB,MUDAR,50.263,60000,4,2219163,shapley_degree
Bayesian_UCB_prior,MUDAR,38.379,60000,4,1965990,shapley_degree
EPS,MUDAR,36.804,60000,4,2456223,shapley_degree
TH,MUDAR,65.323,60000,4,2371190,shapley_degree
TH_prior,MUDAR,40.799,60000,4,2197379,shapley_degree
UCB,MUDAR,57.793,60000,20,58955,shapley_degree
Bayesian_UCB,MUDAR,63.888,60000,20,0,shapley_degree
Bayesian_UCB_prior,MUDAR,68.648,60000,20,58187,shapley_degree
EPS,MUDAR,56.414,60000,20,42266,shapley_degree
TH,MUDAR,54.2,60000,20,31110,shapley_degree
TH_prior,MUDAR,62.443,60000,20,42887,shapley_degree
UCB,MUDAR,49.876,60000,50,0,shapley_degree
Bayesian_UCB,MUDAR,43.533,60000,50,0,shapley_degree
Bayesian_UCB_prior,MUDAR,33.927,60000,50,0,shapley_degree
EPS,MUDAR,40.909,60000,50,0,shapley_degree
TH,MUDAR,45.667,60000,50,0,shapley_degree
TH_prior,MUDAR,44.808,60000,50,0,shapley_degree
UCB,MUDAR,72.891,60000,1,4882502,shapley_threshold
Bayesian_UCB,MUDAR,43.52,60000,1,3696341,shapley_threshold
Bayesian_UCB_prior,MUDAR,44.375,60000,1,3744493,shapley_threshold
EPS,MUDAR,49.984,60000,1,4339071,shapley_threshold
TH,MUDAR,50.755,60000,1,3705196,shapley_threshold
TH_prior,MUDAR,58.788,60000,1,3969273,shapley_threshold
UCB,MUDAR,60.88,60000,4,2559235,shapley_threshold
Bayesian_UCB,MUDAR,51.883,60000,4,2022903,shapley_threshold
Bayesian_UCB_prior,MUDAR,50.503,60000,4,2548967,shapley_threshold
EPS,MUDAR,61.089,60000,4,2291010,shapley_threshold
TH,MUDAR,55.433,60000,4,1897781,shapley_threshold
TH_prior,MUDAR,54.52,60000,4,2020996,shapley_threshold
UCB,MUDAR,58.278,60000,20,62590,shapley_threshold
Bayesian_UCB,MUDAR,48.346,60000,20,137,shapley_threshold
Bayesian_UCB_prior,MUDAR,39.289,60000,20,99,shapley_threshold
EPS,MUDAR,48.532,60000,20,38487,shapley_threshold
TH,MUDAR,52.548,60000,20,50440,shapley_threshold
TH_prior,MUDAR,54.429,60000,20,55497,shapley_threshold
UCB,MUDAR,50.966,60000,50,0,shapley_threshold
Bayesian_UCB,MUDAR,45.756,60000,50,0,shapley_threshold
Bayesian_UCB_prior,MUDAR,37.889,60000,50,0,shapley_threshold
EPS,MUDAR,40.617,60000,50,0,shapley_threshold
TH,MUDAR,49.362,60000,50,0,shapley_threshold
TH_prior,MUDAR,45.119,60000,50,0,shapley_threshold
UCB,MUDAR,52.828,60000,1,4013601,shapley_closeness
Bayesian_UCB,MUDAR,48.954,60000,1,3675164,shapley_closeness
Bayesian_UCB_prior,MUDAR,54.199,60000,1,3197935,shapley_closeness
EPS,MUDAR,41.365,60000,1,4259629,shapley_closeness
TH,MUDAR,57.545,60000,1,3651134,shapley_closeness
TH_prior,MUDAR,56.69,60000,1,3628552,shapley_closeness
UCB,MUDAR,39.014,60000,4,2074647,shapley_closeness
Bayesian_UCB,MUDAR,40.851,60000,4,1985149,shapley_closeness
Bayesian_UCB_prior,MUDAR,56.534,60000,4,2079564,shapley_closeness
EPS,MUDAR,52.55,60000,4,2311118,shapley_closeness
TH,MUDAR,60.891,60000,4,2148621,shapley_closeness
TH_prior,MUDAR,53.84,60000,4,2699466,shapley_closeness
UCB,MUDAR,49.975,60000,20,85556,shapley_closeness
Bayesian_UCB,MUDAR,59.249,60000,20,35392,shapley_closeness
Bayesian_UCB_prior,MUDAR,35.444,60000,20,31118,shapley_closeness
EPS,MUDAR,49.64,60000,20,36750,shapley_closeness
TH,MUDAR,62.665,60000,20,52887,shapley_closeness
TH_prior,MUDAR,59.496,60000,20,23541,shapley_closeness
UCB,MUDAR,53.98,60000,50,0,shapley_closeness
Bayesian_UCB,MUDAR,56.821,60000,50,0,shapley_closeness
Bayesian_UCB_prior,MUDAR,55.524,60000,50,0,shapley_closeness
EPS,MUDAR,59.083,60000,50,0,shapley_closeness
TH,MUDAR,50.906,60000,50,0,shapley_closeness
TH_prior,MUDAR,57.805,60000,50,0,shapley_closeness
