Bandit,Auction,Time (s),T,k,Revenue
UCB,VCG,33.329,20000,1,31766
Bayesian_UCB,VCG,33.067,20000,1,17719
Bayesian_UCB,VCG,33.105,20000,1,15390
EPS,VCG,22.926,20000,1,15316
TH,VCG,197.36,20000,1,40999
UCB,VCG,32.672,20000,2,-446138
Bayesian_UCB,VCG,32.923,20000,2,-407311
Bayesian_UCB,VCG,33.576,20000,2,-408816
EPS,VCG,22.77,20000,2,-409566
TH,VCG,193.914,20000,2,-404454
UCB,VCG,33.431,20000,3,-984831
Bayesian_UCB,VCG,34.28,20000,3,-1034171
Bayesian_UCB,VCG,33.896,20000,3,-1005855
EPS,VCG,23.277,20000,3,-1012290
TH,VCG,197.135,20000,3,-1022963
UCB,VCG,33.19,20000,4,-1666360
Bayesian_UCB,VCG,33.667,20000,4,-1661250
Bayesian_UCB,VCG,33.506,20000,4,-1679664
EPS,VCG,23.035,20000,4,-1647614
TH,VCG,197.373,20000,4,-1712421
UCB,VCG,32.659,20000,5,-2397801
Bayesian_UCB,VCG,33.502,20000,5,-2341755
Bayesian_UCB,VCG,33.203,20000,5,-2399155
EPS,VCG,22.763,20000,5,-2375128
TH,VCG,191.717,20000,5,-2442204
