Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAN,7.22,20000,1,297167.0,pagerank
UCB_mean,MUDAN,13.365,20000,1,270189.0,pagerank
UCB_mean_prior,MUDAN,11.097,20000,1,302663.0,pagerank
Bayesian_UCB,MUDAN,7.603,20000,1,220001.0,pagerank
Bayesian_UCB_prior,MUDAN,8.316,20000,1,228167.0,pagerank
EPS,MUDAN,9.641,20000,1,237116.0,pagerank
TH,MUDAN,12.091,20000,1,228938.0,pagerank
TH_prior,MUDAN,10.457,20000,1,209696.0,pagerank
UCB,MUDAN,8.261,20000,4,793984.0,pagerank
UCB_mean,MUDAN,5.1,20000,4,682595.0,pagerank
UCB_mean_prior,MUDAN,6.996,20000,4,712919.0,pagerank
Bayesian_UCB,MUDAN,7.91,20000,4,578795.0,pagerank
Bayesian_UCB_prior,MUDAN,6.042,20000,4,631914.0,pagerank
EPS,MUDAN,7.494,20000,4,621666.0,pagerank
TH,MUDAN,9.326,20000,4,586214.0,pagerank
TH_prior,MUDAN,8.454,20000,4,663395.0,pagerank
UCB,MUDAN,6.217,20000,20,600840.0,pagerank
UCB_mean,MUDAN,12.948,20000,20,595829.0,pagerank
UCB_mean_prior,MUDAN,10.915,20000,20,700052.0,pagerank
Bayesian_UCB,MUDAN,10.621,20000,20,618845.0,pagerank
Bayesian_UCB_prior,MUDAN,10.591,20000,20,612868.0,pagerank
EPS,MUDAN,10.317,20000,20,527976.0,pagerank
TH,MUDAN,12.163,20000,20,476618.0,pagerank
TH_prior,MUDAN,13.968,20000,20,498394.0,pagerank
UCB,MUDAN,12.048,20000,50,51492.0,pagerank
UCB_mean,MUDAN,13.082,20000,50,41251.0,pagerank
UCB_mean_prior,MUDAN,10.229,20000,50,69215.0,pagerank
Bayesian_UCB,MUDAN,12.435,20000,50,54139.0,pagerank
Bayesian_UCB_prior,MUDAN,12.739,20000,50,50340.0,pagerank
EPS,MUDAN,10.427,20000,50,38135.0,pagerank
TH,MUDAN,15.003,20000,50,39434.0,pagerank
TH_prior,MUDAN,13.731,20000,50,46978.0,pagerank
UCB,MUDAN,5.897,20000,1,287387.0,degree
UCB_mean,MUDAN,8.733,20000,1,270571.0,degree
UCB_mean_prior,MUDAN,5.504,20000,1,275855.0,degree
Bayesian_UCB,MUDAN,8.496,20000,1,215524.0,degree
Bayesian_UCB_prior,MUDAN,6.888,20000,1,223627.0,degree
EPS,MUDAN,6.212,20000,1,229218.0,degree
TH,MUDAN,13.096,20000,1,226587.0,degree
TH_prior,MUDAN,7.832,20000,1,236998.0,degree
UCB,MUDAN,7.793,20000,4,749070.0,degree
UCB_mean,MUDAN,5.05,20000,4,774253.0,degree
UCB_mean_prior,MUDAN,5.643,20000,4,655869.0,degree
Bayesian_UCB,MUDAN,5.882,20000,4,611056.0,degree
Bayesian_UCB_prior,MUDAN,5.649,20000,4,640984.0,degree
EPS,MUDAN,6.252,20000,4,664152.0,degree
TH,MUDAN,8.699,20000,4,648246.0,degree
TH_prior,MUDAN,10.057,20000,4,632375.0,degree
UCB,MUDAN,12.579,20000,20,715582.0,degree
UCB_mean,MUDAN,13.057,20000,20,793381.0,degree
UCB_mean_prior,MUDAN,11.187,20000,20,638549.0,degree
Bayesian_UCB,MUDAN,9.642,20000,20,621289.0,degree
Bayesian_UCB_prior,MUDAN,10.187,20000,20,569690.0,degree
EPS,MUDAN,9.196,20000,20,570943.0,degree
TH,MUDAN,10.441,20000,20,565817.0,degree
TH_prior,MUDAN,12.539,20000,20,614824.0,degree
UCB,MUDAN,11.613,20000,50,57832.0,degree
UCB_mean,MUDAN,9.492,20000,50,71077.0,degree
UCB_mean_prior,MUDAN,8.316,20000,50,57578.0,degree
Bayesian_UCB,MUDAN,7.937,20000,50,79754.0,degree
Bayesian_UCB_prior,MUDAN,9.947,20000,50,70478.0,degree
