Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAR,5.551,20000,1,1561229,pagerank
UCB_mean,MUDAR,4.839,20000,1,1370442,pagerank
UCB_mean_prior,MUDAR,3.171,20000,1,1487337,pagerank
Bayesian_UCB,MUDAR,3.473,20000,1,1244340,pagerank
Bayesian_UCB_prior,MUDAR,4.094,20000,1,1267991,pagerank
EPS,MUDAR,3.828,20000,1,1258725,pagerank
TH,MUDAR,6.443,20000,1,1243103,pagerank
TH_prior,MUDAR,6.788,20000,1,1269738,pagerank
UCB,MUDAR,6.64,20000,4,848672,pagerank
UCB_mean,MUDAR,5.13,20000,4,885218,pagerank
UCB_mean_prior,MUDAR,5.255,20000,4,933067,pagerank
Bayesian_UCB,MUDAR,5.365,20000,4,750014,pagerank
Bayesian_UCB_prior,MUDAR,4.425,20000,4,767510,pagerank
EPS,MUDAR,4.411,20000,4,726354,pagerank
TH,MUDAR,5.39,20000,4,719119,pagerank
TH_prior,MUDAR,5.226,20000,4,728225,pagerank
UCB,MUDAR,5.075,20000,20,15793,pagerank
UCB_mean,MUDAR,3.322,20000,20,14646,pagerank
UCB_mean_prior,MUDAR,3.764,20000,20,10616,pagerank
Bayesian_UCB,MUDAR,4.102,20000,20,20793,pagerank
Bayesian_UCB_prior,MUDAR,5.081,20000,20,8257,pagerank
EPS,MUDAR,4.472,20000,20,11842,pagerank
TH,MUDAR,5.61,20000,20,13225,pagerank
TH_prior,MUDAR,6.275,20000,20,14206,pagerank
UCB,MUDAR,4.304,20000,50,0,pagerank
UCB_mean,MUDAR,3.548,20000,50,0,pagerank
UCB_mean_prior,MUDAR,3.227,20000,50,0,pagerank
Bayesian_UCB,MUDAR,4.658,20000,50,0,pagerank
Bayesian_UCB_prior,MUDAR,3.876,20000,50,0,pagerank
EPS,MUDAR,4.46,20000,50,0,pagerank
TH,MUDAR,6.014,20000,50,0,pagerank
TH_prior,MUDAR,5.951,20000,50,0,pagerank
UCB,MUDAR,4.194,20000,1,1521878,degree
UCB_mean,MUDAR,3.936,20000,1,1335260,degree
UCB_mean_prior,MUDAR,2.654,20000,1,1367628,degree
Bayesian_UCB,MUDAR,6.208,20000,1,1198110,degree
Bayesian_UCB_prior,MUDAR,5.548,20000,1,1305498,degree
EPS,MUDAR,4.641,20000,1,1263306,degree
TH,MUDAR,6.043,20000,1,1331633,degree
TH_prior,MUDAR,5.667,20000,1,1220251,degree
UCB,MUDAR,5.229,20000,4,841745,degree
UCB_mean,MUDAR,5.451,20000,4,945422,degree
UCB_mean_prior,MUDAR,7.869,20000,4,795689,degree
Bayesian_UCB,MUDAR,4.678,20000,4,743048,degree
Bayesian_UCB_prior,MUDAR,5.466,20000,4,799126,degree
EPS,MUDAR,5.402,20000,4,727106,degree
TH,MUDAR,6.783,20000,4,651022,degree
TH_prior,MUDAR,6.026,20000,4,699118,degree
UCB,MUDAR,5.304,20000,20,10602,degree
UCB_mean,MUDAR,6.113,20000,20,17074,degree
UCB_mean_prior,MUDAR,4.839,20000,20,16494,degree
Bayesian_UCB,MUDAR,4.569,20000,20,13385,degree
Bayesian_UCB_prior,MUDAR,3.962,20000,20,16778,degree
EPS,MUDAR,4.225,20000,20,14299,degree
TH,MUDAR,6.267,20000,20,13324,degree
TH_prior,MUDAR,5.109,20000,20,11402,degree
UCB,MUDAR,4.286,20000,50,0,degree
UCB_mean,MUDAR,4.18,20000,50,0,degree
UCB_mean_prior,MUDAR,3.799,20000,50,0,degree
Bayesian_UCB,MUDAR,5.037,20000,50,0,degree
Bayesian_UCB_prior,MUDAR,6.793,20000,50,0,degree
EPS,MUDAR,11.238,20000,50,0,degree
TH,MUDAR,10.75,20000,50,0,degree
TH_prior,MUDAR,11.451,20000,50,0,degree
UCB,MUDAR,5.308,20000,1,1412816,voterank
UCB_mean,MUDAR,9.197,20000,1,1471565,voterank
UCB_mean_prior,MUDAR,8.634,20000,1,1462068,voterank
Bayesian_UCB,MUDAR,6.954,20000,1,1297542,voterank
Bayesian_UCB_prior,MUDAR,7.61,20000,1,1473352,voterank
EPS,MUDAR,5.776,20000,1,1305888,voterank
TH,MUDAR,8.101,20000,1,1336663,voterank
TH_prior,MUDAR,7.283,20000,1,1298032,voterank
UCB,MUDAR,4.771,20000,4,800408,voterank
UCB_mean,MUDAR,6.196,20000,4,750757,voterank
UCB_mean_prior,MUDAR,13.253,20000,4,809143,voterank
Bayesian_UCB,MUDAR,10.89,20000,4,666633,voterank
Bayesian_UCB_prior,MUDAR,19.564,20000,4,751738,voterank
EPS,MUDAR,7.016,20000,4,738156,voterank
TH,MUDAR,8.03,20000,4,736701,voterank
TH_prior,MUDAR,6.901,20000,4,775247,voterank
UCB,MUDAR,6.202,20000,20,24874,voterank
UCB_mean,MUDAR,5.246,20000,20,19249,voterank
UCB_mean_prior,MUDAR,4.41,20000,20,22195,voterank
Bayesian_UCB,MUDAR,2.832,20000,20,25225,voterank
Bayesian_UCB_prior,MUDAR,3.154,20000,20,14298,voterank
EPS,MUDAR,3.763,20000,20,10423,voterank
TH,MUDAR,5.834,20000,20,7978,voterank
TH_prior,MUDAR,11.686,20000,20,14327,voterank
UCB,MUDAR,6.725,20000,50,0,voterank
UCB_mean,MUDAR,5.577,20000,50,0,voterank
UCB_mean_prior,MUDAR,5.01,20000,50,0,voterank
Bayesian_UCB,MUDAR,3.097,20000,50,0,voterank
Bayesian_UCB_prior,MUDAR,2.186,20000,50,0,voterank
EPS,MUDAR,4.068,20000,50,0,voterank
TH,MUDAR,7.356,20000,50,0,voterank
TH_prior,MUDAR,7.081,20000,50,0,voterank
UCB,MUDAR,7.294,20000,1,1278037,shapley_degree
