Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAR,7.001,20000,1,3333295.409813822,pagerank
UCB,MUDAR,4.716,20000,2,2654229.4197926703,pagerank
UCB,MUDAR,9.238,20000,3,2581326.604324481,pagerank
UCB,MUDAR,5.843,20000,4,2371008.379789806,pagerank
UCB,MUDAR,12.141,20000,5,2097149.1901028526,pagerank
UCB,MUDAR,12.363,20000,1,3467797.116881647,degree
UCB,MUDAR,10.768,20000,2,3399539.354707705,degree
UCB,MUDAR,8.12,20000,3,2489359.407271472,degree
UCB,MUDAR,14.449,20000,4,3122919.915043383,degree
UCB,MUDAR,13.871,20000,5,2626884.7995507726,degree
UCB,MUDAR,10.037,20000,1,3570153.2570510376,voterank
UCB,MUDAR,12.155,20000,2,2984933.5913934605,voterank
UCB,MUDAR,13.007,20000,3,2982148.121587534,voterank
UCB,MUDAR,8.5,20000,4,2514755.945321162,voterank
UCB,MUDAR,6.985,20000,5,2183605.4502174947,voterank
