Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAR,19.781,40000,1,5458983.27655656,pagerank
UCB,MUDAR,25.905,40000,2,5587985.139644676,pagerank
UCB,MUDAR,34.342,40000,3,4124126.9975151694,pagerank
UCB,MUDAR,37.656,40000,4,5573974.170395003,pagerank
UCB,MUDAR,31.795,40000,5,4320560.342330168,pagerank
UCB,MUDAR,26.735,40000,1,7143627.916561742,degree
UCB,MUDAR,40.326,40000,2,5789170.854393387,degree
UCB,MUDAR,35.575,40000,3,4737375.595575547,degree
UCB,MUDAR,43.509,40000,4,5657140.901781308,degree
UCB,MUDAR,38.578,40000,5,4227578.304176517,degree
UCB,MUDAR,44.93,40000,1,7916427.33842886,voterank
UCB,MUDAR,44.768,40000,2,7074369.254127881,voterank
UCB,MUDAR,50.415,40000,3,5601208.715151315,voterank
UCB,MUDAR,39.936,40000,4,4418074.131929689,voterank
UCB,MUDAR,37.773,40000,5,4592820.538659895,voterank
