Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAR,47.002,20000,2,286817.88926182466,normal
UCB,MUDAR,51.667,20000,3,383192.0657409559,normal
UCB,MUDAR,57.092,20000,4,444518.401451422,normal
UCB,MUDAR,59.033,20000,5,467611.63207709725,normal
UCB,MUDAR,9.135,20000,2,396818.80665497924,pagerank
UCB,MUDAR,7.835,20000,3,512403.78357980686,pagerank
UCB,MUDAR,11.698,20000,4,613834.206682494,pagerank
UCB,MUDAR,14.045,20000,5,711342.2115822365,pagerank
UCB,MUDAR,11.104,20000,2,371078.8069014368,degree
UCB,MUDAR,8.218,20000,3,497707.47898576333,degree
UCB,MUDAR,14.521,20000,4,593420.8786300377,degree
UCB,MUDAR,15.839,20000,5,727657.833879305,degree
UCB,MUDAR,15.445,20000,2,394706.5794733801,voterank
UCB,MUDAR,19.455,20000,3,575088.4330474914,voterank
UCB,MUDAR,13.266,20000,4,577973.4769324899,voterank
UCB,MUDAR,10.983,20000,5,677848.2918820258,voterank
