,Bandit,Auction,Time (s),T,k,Revenue,armset
0,UCB,MUDAN,16.988,20000,2,490957.0,degree
1,UCB,MUDAR,16.456,20000,2,448829.8243314271,voterank
2,UCB,GIDM,14.398,20000,2,520417.0,voterank
3,UCB,MUDAN,12.538,20000,3,675769.0,pagerank
4,UCB,MUDAR,12.999,20000,3,573683.8120909458,voterank
5,UCB,GIDM,22.695,20000,3,724865.0,degree
6,UCB,MUDAN,15.28,20000,4,748161.0,pagerank
7,UCB,MUDAR,11.827,20000,4,689973.1673388497,voterank
8,UCB,GIDM,20.068,20000,4,860326.0,pagerank
9,UCB,MUDAN,14.897,20000,5,916572.0,degree
10,UCB,MUDAR,10.316,20000,5,754351.1146238742,voterank
11,UCB,GIDM,20.665,20000,5,894849.0,voterank
