,Bandit,Auction,Time (s),T,k,Revenue,armset
0,UCB,MUDAN,46.91,40000,2,947912.0,pagerank
1,UCB,MUDAR,52.572,40000,2,883373.1178481414,degree
2,UCB,GIDM,46.58,40000,2,1072785.0,pagerank
3,UCB,MUDAN,49.121,40000,3,1326584.0,voterank
4,UCB,MUDAR,41.85,40000,3,1210703.5391295566,pagerank
5,UCB,GIDM,58.822,40000,3,1450226.0,pagerank
6,UCB,MUDAN,47.375,40000,4,1668153.0,pagerank
7,UCB,MUDAR,41.801,40000,4,1372028.8859584066,degree
8,UCB,GIDM,65.319,40000,4,1468703.0,pagerank
9,UCB,MUDAN,45.283,40000,5,1763226.0,pagerank
10,UCB,MUDAR,64.79,40000,5,1598371.6026075876,pagerank
11,UCB,GIDM,45.034,40000,5,1808662.0,voterank
