Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,GIDM,82.866,60000,2,1563680.0,pagerank
UCB,GIDM,73.091,60000,3,1740878.0,pagerank
UCB,GIDM,75.137,60000,4,2082668.0,pagerank
UCB,GIDM,69.23,60000,5,2591961.0,pagerank
UCB,GIDM,75.809,60000,2,1573527.0,degree
UCB,GIDM,67.991,60000,3,1698453.0,degree
UCB,GIDM,79.741,60000,4,2147853.0,degree
UCB,GIDM,70.176,60000,5,2045641.0,degree
UCB,GIDM,70.877,60000,2,1516485.0,voterank
UCB,GIDM,62.164,60000,3,2250432.0,voterank
UCB,GIDM,111.751,60000,4,2297824.0,voterank
UCB,GIDM,79.284,60000,5,2135012.0,voterank
