Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAN,56.914,60000,2,1388327.0,pagerank
UCB,MUDAN,76.235,60000,3,2001696.0,pagerank
UCB,MUDAN,78.365,60000,4,2025547.0,pagerank
UCB,MUDAN,48.047,60000,5,2289090.0,pagerank
UCB,MUDAN,55.039,60000,2,1222069.0,degree
UCB,MUDAN,62.292,60000,3,1828231.0,degree
UCB,MUDAN,60.923,60000,4,2315970.0,degree
UCB,MUDAN,61.06,60000,5,2577094.0,degree
UCB,MUDAN,51.029,60000,2,1402257.0,voterank
UCB,MUDAN,56.84,60000,3,1697017.0,voterank
UCB,MUDAN,68.609,60000,4,2044363.0,voterank
UCB,MUDAN,58.126,60000,5,2518472.0,voterank
