Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,GIDM,44.281,40000,2,1161838.0,pagerank
UCB,GIDM,51.852,40000,3,1158043.0,pagerank
UCB,GIDM,50.084,40000,4,1267557.0,pagerank
UCB,GIDM,51.737,40000,5,1544259.0,pagerank
UCB,GIDM,67.483,40000,2,974722.0,degree
UCB,GIDM,76.907,40000,3,1498978.0,degree
UCB,GIDM,69.622,40000,4,1300790.0,degree
UCB,GIDM,76.37,40000,5,1747936.0,degree
UCB,GIDM,60.799,40000,2,1254648.0,voterank
UCB,GIDM,76.551,40000,3,1488828.0,voterank
UCB,GIDM,75.756,40000,4,1232696.0,voterank
UCB,GIDM,83.107,40000,5,1514489.0,voterank
