Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,IDM,0.516,2000,1,9444,pagerank
UCB_mean,IDM,0.483,2000,1,10406,pagerank
UCB_mean_prior,IDM,0.47,2000,1,8347,pagerank
Bayesian_UCB,IDM,0.42,2000,1,-409,pagerank
Bayesian_UCB_prior,IDM,0.393,2000,1,2165,pagerank
UCB,IDM,0.479,2000,4,-170163,pagerank
UCB_mean,IDM,0.446,2000,4,-162801,pagerank
UCB_mean_prior,IDM,0.464,2000,4,-170665,pagerank
Bayesian_UCB,IDM,0.442,2000,4,-163469,pagerank
Bayesian_UCB_prior,IDM,0.364,2000,4,-154891,pagerank
UCB,IDM,0.492,2000,20,-1064024,pagerank
UCB_mean,IDM,0.469,2000,20,-948083,pagerank
UCB_mean_prior,IDM,0.447,2000,20,-1010358,pagerank
Bayesian_UCB,IDM,0.427,2000,20,-879162,pagerank
Bayesian_UCB_prior,IDM,0.455,2000,20,-921202,pagerank
UCB,IDM,0.503,2000,1,10512,degree
UCB_mean,IDM,0.543,2000,1,10027,degree
UCB_mean_prior,IDM,0.581,2000,1,7158,degree
Bayesian_UCB,IDM,0.532,2000,1,7284,degree
Bayesian_UCB_prior,IDM,0.477,2000,1,4404,degree
UCB,IDM,0.514,2000,4,-177734,degree
UCB_mean,IDM,0.471,2000,4,-177857,degree
UCB_mean_prior,IDM,0.438,2000,4,-166853,degree
Bayesian_UCB,IDM,0.568,2000,4,-177329,degree
Bayesian_UCB_prior,IDM,0.504,2000,4,-188541,degree
UCB,IDM,0.5,2000,20,-1108686,degree
UCB_mean,IDM,0.476,2000,20,-1051320,degree
UCB_mean_prior,IDM,0.454,2000,20,-1097768,degree
Bayesian_UCB,IDM,0.465,2000,20,-974374,degree
Bayesian_UCB_prior,IDM,0.522,2000,20,-1196713,degree
UCB,IDM,0.557,2000,1,10352,voterank
UCB_mean,IDM,0.509,2000,1,7220,voterank
UCB_mean_prior,IDM,0.517,2000,1,5884,voterank
Bayesian_UCB,IDM,0.471,2000,1,3510,voterank
Bayesian_UCB_prior,IDM,0.491,2000,1,1008,voterank
UCB,IDM,0.54,2000,4,-173720,voterank
UCB_mean,IDM,0.449,2000,4,-171040,voterank
UCB_mean_prior,IDM,0.454,2000,4,-171798,voterank
Bayesian_UCB,IDM,0.441,2000,4,-179839,voterank
Bayesian_UCB_prior,IDM,0.479,2000,4,-166217,voterank
UCB,IDM,0.477,2000,20,-1072334,voterank
UCB_mean,IDM,0.467,2000,20,-1018024,voterank
UCB_mean_prior,IDM,0.57,2000,20,-1131372,voterank
Bayesian_UCB,IDM,0.527,2000,20,-1117912,voterank
Bayesian_UCB_prior,IDM,0.509,2000,20,-1162912,voterank
UCB,IDM,0.609,2000,1,5609,shapley_degree
UCB_mean,IDM,0.451,2000,1,8235,shapley_degree
UCB_mean_prior,IDM,0.434,2000,1,9995,shapley_degree
Bayesian_UCB,IDM,0.492,2000,1,6158,shapley_degree
Bayesian_UCB_prior,IDM,0.406,2000,1,6020,shapley_degree
UCB,IDM,0.408,2000,4,-152647,shapley_degree
UCB_mean,IDM,0.449,2000,4,-170136,shapley_degree
