Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAR,0.119,2000,1,132081,pagerank
UCB_mean,MUDAR,0.115,2000,1,136212,pagerank
UCB_mean_prior,MUDAR,0.115,2000,1,125818,pagerank
Bayesian_UCB,MUDAR,0.116,2000,1,130790,pagerank
Bayesian_UCB_prior,MUDAR,0.118,2000,1,147001,pagerank
UCB,MUDAR,0.114,2000,4,58800,pagerank
UCB_mean,MUDAR,0.117,2000,4,65892,pagerank
UCB_mean_prior,MUDAR,0.123,2000,4,69254,pagerank
Bayesian_UCB,MUDAR,0.121,2000,4,71743,pagerank
Bayesian_UCB_prior,MUDAR,0.126,2000,4,73748,pagerank
UCB,MUDAR,0.131,2000,20,580,pagerank
UCB_mean,MUDAR,0.116,2000,20,484,pagerank
UCB_mean_prior,MUDAR,0.124,2000,20,1371,pagerank
Bayesian_UCB,MUDAR,0.127,2000,20,844,pagerank
Bayesian_UCB_prior,MUDAR,0.125,2000,20,104,pagerank
UCB,MUDAR,0.13,2000,1,147559,degree
UCB_mean,MUDAR,0.121,2000,1,136757,degree
UCB_mean_prior,MUDAR,0.115,2000,1,111379,degree
Bayesian_UCB,MUDAR,0.13,2000,1,159145,degree
Bayesian_UCB_prior,MUDAR,0.103,2000,1,92629,degree
UCB,MUDAR,0.137,2000,4,77447,degree
UCB_mean,MUDAR,0.124,2000,4,65167,degree
UCB_mean_prior,MUDAR,0.131,2000,4,77356,degree
Bayesian_UCB,MUDAR,0.148,2000,4,95695,degree
Bayesian_UCB_prior,MUDAR,0.127,2000,4,73306,degree
UCB,MUDAR,0.139,2000,20,3430,degree
UCB_mean,MUDAR,0.124,2000,20,1022,degree
UCB_mean_prior,MUDAR,0.13,2000,20,966,degree
Bayesian_UCB,MUDAR,0.153,2000,20,3147,degree
Bayesian_UCB_prior,MUDAR,0.124,2000,20,1136,degree
UCB,MUDAR,0.119,2000,1,120108,voterank
UCB_mean,MUDAR,0.126,2000,1,152383,voterank
UCB_mean_prior,MUDAR,0.115,2000,1,122967,voterank
Bayesian_UCB,MUDAR,0.122,2000,1,127664,voterank
Bayesian_UCB_prior,MUDAR,0.123,2000,1,130207,voterank
UCB,MUDAR,0.13,2000,4,73790,voterank
UCB_mean,MUDAR,0.122,2000,4,71137,voterank
UCB_mean_prior,MUDAR,0.128,2000,4,82359,voterank
Bayesian_UCB,MUDAR,0.128,2000,4,78360,voterank
Bayesian_UCB_prior,MUDAR,0.12,2000,4,66733,voterank
