Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,GIDM,0.155,100,1,1145.0,normal
Bayesian_UCB,GIDM,0.155,100,1,1116.0,normal
TH,GIDM,0.943,100,1,1101.0,normal
UCB,GIDM,0.162,100,2,1882.0,normal
Bayesian_UCB,GIDM,0.159,100,2,1915.0,normal
TH,GIDM,0.97,100,2,1998.0,normal
UCB,GIDM,0.208,100,3,2588.0,normal
Bayesian_UCB,GIDM,0.161,100,3,2399.0,normal
TH,GIDM,1.012,100,3,2294.0,normal
UCB,GIDM,0.16,100,4,2761.0,normal
Bayesian_UCB,GIDM,0.153,100,4,2568.0,normal
TH,GIDM,0.95,100,4,2017.0,normal
UCB,GIDM,0.157,100,5,2518.0,normal
Bayesian_UCB,GIDM,0.157,100,5,3526.0,normal
TH,GIDM,0.979,100,5,3598.0,normal
UCB,GIDM,0.023,100,1,1515.0,pagerank
Bayesian_UCB,GIDM,0.01,100,1,1232.0,pagerank
Bayesian_UCB_prior,GIDM,0.019,100,1,1482.0,pagerank
TH,GIDM,0.029,100,1,1450.0,pagerank
TH_prior,GIDM,0.024,100,1,1785.0,pagerank
UCB,GIDM,0.02,100,2,2191.0,pagerank
Bayesian_UCB,GIDM,0.023,100,2,2422.0,pagerank
Bayesian_UCB_prior,GIDM,0.022,100,2,2858.0,pagerank
TH,GIDM,0.043,100,2,2659.0,pagerank
TH_prior,GIDM,0.031,100,2,2130.0,pagerank
UCB,GIDM,0.018,100,3,2500.0,pagerank
Bayesian_UCB,GIDM,0.024,100,3,2432.0,pagerank
Bayesian_UCB_prior,GIDM,0.017,100,3,2788.0,pagerank
TH,GIDM,0.029,100,3,3065.0,pagerank
TH_prior,GIDM,0.025,100,3,2814.0,pagerank
UCB,GIDM,0.013,100,4,2487.0,pagerank
Bayesian_UCB,GIDM,0.018,100,4,3311.0,pagerank
Bayesian_UCB_prior,GIDM,0.022,100,4,2503.0,pagerank
TH,GIDM,0.035,100,4,2112.0,pagerank
TH_prior,GIDM,0.03,100,4,2690.0,pagerank
UCB,GIDM,0.016,100,5,2400.0,pagerank
Bayesian_UCB,GIDM,0.026,100,5,3100.0,pagerank
Bayesian_UCB_prior,GIDM,0.024,100,5,3230.0,pagerank
TH,GIDM,0.025,100,5,2222.0,pagerank
TH_prior,GIDM,0.034,100,5,3024.0,pagerank
UCB,GIDM,0.039,100,1,1571.0,degree
Bayesian_UCB,GIDM,0.018,100,1,1291.0,degree
Bayesian_UCB_prior,GIDM,0.023,100,1,2283.0,degree
TH,GIDM,0.024,100,1,1063.0,degree
TH_prior,GIDM,0.023,100,1,1622.0,degree
UCB,GIDM,0.025,100,2,2674.0,degree
Bayesian_UCB,GIDM,0.02,100,2,2010.0,degree
Bayesian_UCB_prior,GIDM,0.017,100,2,2354.0,degree
TH,GIDM,0.034,100,2,2559.0,degree
TH_prior,GIDM,0.033,100,2,2660.0,degree
UCB,GIDM,0.028,100,3,2374.0,degree
Bayesian_UCB,GIDM,0.016,100,3,2155.0,degree
Bayesian_UCB_prior,GIDM,0.029,100,3,3052.0,degree
TH,GIDM,0.039,100,3,3521.0,degree
TH_prior,GIDM,0.037,100,3,2824.0,degree
UCB,GIDM,0.018,100,4,1946.0,degree
Bayesian_UCB,GIDM,0.024,100,4,3452.0,degree
Bayesian_UCB_prior,GIDM,0.021,100,4,3323.0,degree
TH,GIDM,0.038,100,4,3168.0,degree
TH_prior,GIDM,0.033,100,4,3187.0,degree
UCB,GIDM,0.024,100,5,3110.0,degree
Bayesian_UCB,GIDM,0.029,100,5,3509.0,degree
