Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,GIDM,0.155,100,1,1106.0,normal
Bayesian_UCB,GIDM,0.157,100,1,1328.0,normal
TH,GIDM,0.979,100,1,1614.0,normal
UCB,GIDM,0.163,100,2,1255.0,normal
Bayesian_UCB,GIDM,0.162,100,2,1731.0,normal
TH,GIDM,0.981,100,2,1464.0,normal
UCB,GIDM,0.159,100,3,2272.0,normal
Bayesian_UCB,GIDM,0.16,100,3,1881.0,normal
TH,GIDM,0.996,100,3,2027.0,normal
UCB,GIDM,0.174,100,4,2271.0,normal
Bayesian_UCB,GIDM,0.162,100,4,2114.0,normal
TH,GIDM,1.001,100,4,3577.0,normal
UCB,GIDM,0.184,100,5,3385.0,normal
Bayesian_UCB,GIDM,0.163,100,5,1493.0,normal
TH,GIDM,0.998,100,5,1862.0,normal
UCB,GIDM,0.013,100,1,1797.0,pagerank
Bayesian_UCB,GIDM,0.019,100,1,1766.0,pagerank
Bayesian_UCB_prior,GIDM,0.011,100,1,1379.0,pagerank
TH,GIDM,0.024,100,1,1835.0,pagerank
TH_prior,GIDM,0.034,100,1,1737.0,pagerank
UCB,GIDM,0.013,100,2,1738.0,pagerank
Bayesian_UCB,GIDM,0.019,100,2,1823.0,pagerank
Bayesian_UCB_prior,GIDM,0.015,100,2,2283.0,pagerank
TH,GIDM,0.027,100,2,1356.0,pagerank
TH_prior,GIDM,0.027,100,2,2376.0,pagerank
UCB,GIDM,0.015,100,3,2619.0,pagerank
Bayesian_UCB,GIDM,0.013,100,3,1624.0,pagerank
Bayesian_UCB_prior,GIDM,0.018,100,3,2320.0,pagerank
TH,GIDM,0.028,100,3,2476.0,pagerank
TH_prior,GIDM,0.029,100,3,2760.0,pagerank
UCB,GIDM,0.017,100,4,1900.0,pagerank
Bayesian_UCB,GIDM,0.02,100,4,2664.0,pagerank
Bayesian_UCB_prior,GIDM,0.022,100,4,2937.0,pagerank
TH,GIDM,0.033,100,4,2667.0,pagerank
TH_prior,GIDM,0.028,100,4,2990.0,pagerank
UCB,GIDM,0.023,100,5,3802.0,pagerank
Bayesian_UCB,GIDM,0.017,100,5,2655.0,pagerank
Bayesian_UCB_prior,GIDM,0.023,100,5,4117.0,pagerank
TH,GIDM,0.045,100,5,3896.0,pagerank
TH_prior,GIDM,0.039,100,5,3549.0,pagerank
UCB,GIDM,0.029,100,1,1648.0,degree
Bayesian_UCB,GIDM,0.031,100,1,1891.0,degree
Bayesian_UCB_prior,GIDM,0.016,100,1,1667.0,degree
TH,GIDM,0.046,100,1,1774.0,degree
TH_prior,GIDM,0.022,100,1,1097.0,degree
UCB,GIDM,0.024,100,2,2372.0,degree
Bayesian_UCB,GIDM,0.025,100,2,3198.0,degree
Bayesian_UCB_prior,GIDM,0.014,100,2,1927.0,degree
TH,GIDM,0.027,100,2,1671.0,degree
TH_prior,GIDM,0.03,100,2,1583.0,degree
UCB,GIDM,0.025,100,3,2387.0,degree
Bayesian_UCB,GIDM,0.021,100,3,2242.0,degree
Bayesian_UCB_prior,GIDM,0.026,100,3,2391.0,degree
TH,GIDM,0.029,100,3,1600.0,degree
TH_prior,GIDM,0.022,100,3,1637.0,degree
UCB,GIDM,0.015,100,4,1980.0,degree
Bayesian_UCB,GIDM,0.031,100,4,2422.0,degree
Bayesian_UCB_prior,GIDM,0.023,100,4,2821.0,degree
TH,GIDM,0.025,100,4,3421.0,degree
TH_prior,GIDM,0.023,100,4,3318.0,degree
UCB,GIDM,0.017,100,5,2182.0,degree
Bayesian_UCB,GIDM,0.026,100,5,3546.0,degree
Bayesian_UCB_prior,GIDM,0.02,100,5,3105.0,degree
TH,GIDM,0.036,100,5,3601.0,degree
TH_prior,GIDM,0.039,100,5,3697.0,degree
UCB,GIDM,0.016,100,1,1959.0,voterank
Bayesian_UCB,GIDM,0.018,100,1,1752.0,voterank
Bayesian_UCB_prior,GIDM,0.026,100,1,1887.0,voterank
TH,GIDM,0.024,100,1,1534.0,voterank
TH_prior,GIDM,0.028,100,1,1278.0,voterank
UCB,GIDM,0.017,100,2,2431.0,voterank
Bayesian_UCB,GIDM,0.018,100,2,1606.0,voterank
Bayesian_UCB_prior,GIDM,0.016,100,2,2513.0,voterank
TH,GIDM,0.026,100,2,2364.0,voterank
TH_prior,GIDM,0.024,100,2,1297.0,voterank
UCB,GIDM,0.023,100,3,3650.0,voterank
Bayesian_UCB,GIDM,0.039,100,3,4041.0,voterank
Bayesian_UCB_prior,GIDM,0.022,100,3,2936.0,voterank
TH,GIDM,0.029,100,3,2459.0,voterank
TH_prior,GIDM,0.036,100,3,2867.0,voterank
UCB,GIDM,0.015,100,4,2669.0,voterank
Bayesian_UCB,GIDM,0.029,100,4,3176.0,voterank
Bayesian_UCB_prior,GIDM,0.013,100,4,2151.0,voterank
TH,GIDM,0.033,100,4,3449.0,voterank
TH_prior,GIDM,0.032,100,4,4807.0,voterank
UCB,GIDM,0.022,100,5,3653.0,voterank
Bayesian_UCB,GIDM,0.02,100,5,3577.0,voterank
Bayesian_UCB_prior,GIDM,0.024,100,5,3677.0,voterank
TH,GIDM,0.028,100,5,4053.0,voterank
TH_prior,GIDM,0.033,100,5,3707.0,voterank
UCB,GIDM,0.024,100,1,1789.0,shapley_degree
Bayesian_UCB,GIDM,0.024,100,1,1694.0,shapley_degree
Bayesian_UCB_prior,GIDM,0.025,100,1,1941.0,shapley_degree
TH,GIDM,0.036,100,1,1457.0,shapley_degree
TH_prior,GIDM,0.02,100,1,1920.0,shapley_degree
UCB,GIDM,0.021,100,2,2968.0,shapley_degree
Bayesian_UCB,GIDM,0.016,100,2,1890.0,shapley_degree
Bayesian_UCB_prior,GIDM,0.012,100,2,2542.0,shapley_degree
TH,GIDM,0.024,100,2,2190.0,shapley_degree
TH_prior,GIDM,0.021,100,2,2412.0,shapley_degree
UCB,GIDM,0.013,100,3,2329.0,shapley_degree
Bayesian_UCB,GIDM,0.017,100,3,2036.0,shapley_degree
Bayesian_UCB_prior,GIDM,0.021,100,3,3466.0,shapley_degree
TH,GIDM,0.024,100,3,2580.0,shapley_degree
TH_prior,GIDM,0.025,100,3,2218.0,shapley_degree
UCB,GIDM,0.024,100,4,3524.0,shapley_degree
Bayesian_UCB,GIDM,0.011,100,4,1708.0,shapley_degree
Bayesian_UCB_prior,GIDM,0.016,100,4,2179.0,shapley_degree
