Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAN,0.152,100,1,1126.0,normal
Bayesian_UCB,MUDAN,0.149,100,1,851.0,normal
TH,MUDAN,0.977,100,1,1017.0,normal
UCB,MUDAN,0.153,100,2,1417.0,normal
Bayesian_UCB,MUDAN,0.148,100,2,1887.0,normal
TH,MUDAN,1.158,100,2,1722.0,normal
UCB,MUDAN,0.187,100,3,2625.0,normal
Bayesian_UCB,MUDAN,0.171,100,3,1706.0,normal
TH,MUDAN,1.002,100,3,2430.0,normal
UCB,MUDAN,0.152,100,4,2771.0,normal
Bayesian_UCB,MUDAN,0.152,100,4,2412.0,normal
TH,MUDAN,0.977,100,4,3696.0,normal
UCB,MUDAN,0.148,100,5,2512.0,normal
Bayesian_UCB,MUDAN,0.148,100,5,2408.0,normal
TH,MUDAN,0.965,100,5,2127.0,normal
UCB,MUDAN,0.008,100,1,1020.0,pagerank
Bayesian_UCB,MUDAN,0.007,100,1,743.0,pagerank
Bayesian_UCB_prior,MUDAN,0.008,100,1,1417.0,pagerank
TH,MUDAN,0.015,100,1,1060.0,pagerank
TH_prior,MUDAN,0.015,100,1,983.0,pagerank
UCB,MUDAN,0.007,100,2,1214.0,pagerank
Bayesian_UCB,MUDAN,0.009,100,2,1998.0,pagerank
Bayesian_UCB_prior,MUDAN,0.007,100,2,1572.0,pagerank
TH,MUDAN,0.016,100,2,2116.0,pagerank
TH_prior,MUDAN,0.016,100,2,1315.0,pagerank
UCB,MUDAN,0.009,100,3,2548.0,pagerank
Bayesian_UCB,MUDAN,0.008,100,3,2084.0,pagerank
Bayesian_UCB_prior,MUDAN,0.01,100,3,2747.0,pagerank
TH,MUDAN,0.017,100,3,3447.0,pagerank
TH_prior,MUDAN,0.015,100,3,1805.0,pagerank
UCB,MUDAN,0.009,100,4,2412.0,pagerank
Bayesian_UCB,MUDAN,0.007,100,4,2366.0,pagerank
Bayesian_UCB_prior,MUDAN,0.01,100,4,3501.0,pagerank
TH,MUDAN,0.018,100,4,3323.0,pagerank
TH_prior,MUDAN,0.015,100,4,2366.0,pagerank
UCB,MUDAN,0.01,100,5,3564.0,pagerank
Bayesian_UCB,MUDAN,0.009,100,5,3165.0,pagerank
Bayesian_UCB_prior,MUDAN,0.011,100,5,4279.0,pagerank
TH,MUDAN,0.017,100,5,3271.0,pagerank
TH_prior,MUDAN,0.018,100,5,3816.0,pagerank
UCB,MUDAN,0.008,100,1,856.0,degree
Bayesian_UCB,MUDAN,0.009,100,1,1041.0,degree
Bayesian_UCB_prior,MUDAN,0.008,100,1,1211.0,degree
TH,MUDAN,0.017,100,1,964.0,degree
TH_prior,MUDAN,0.016,100,1,912.0,degree
UCB,MUDAN,0.009,100,2,1524.0,degree
Bayesian_UCB,MUDAN,0.01,100,2,1960.0,degree
Bayesian_UCB_prior,MUDAN,0.011,100,2,2444.0,degree
TH,MUDAN,0.017,100,2,2133.0,degree
TH_prior,MUDAN,0.017,100,2,1973.0,degree
UCB,MUDAN,0.01,100,3,2992.0,degree
