Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAR,0.032,20,1,784.9411669603292,normal
Bayesian_UCB,MUDAR,0.031,20,1,2287.057516850553,normal
TH,MUDAR,0.194,20,1,1978.1170153477724,normal
UCB,MUDAR,0.031,20,2,600.2583495141887,normal
Bayesian_UCB,MUDAR,0.032,20,2,1471.7762793795118,normal
TH,MUDAR,0.194,20,2,1135.1885150870153,normal
UCB,MUDAR,0.032,20,3,1365.868964192988,normal
Bayesian_UCB,MUDAR,0.032,20,3,1842.4404364468191,normal
TH,MUDAR,0.197,20,3,1332.6615838847385,normal
UCB,MUDAR,0.032,20,4,884.8061299233664,normal
Bayesian_UCB,MUDAR,0.031,20,4,179.17073237645957,normal
TH,MUDAR,0.191,20,4,959.2957922632463,normal
UCB,MUDAR,0.032,20,5,524.9478169693006,normal
Bayesian_UCB,MUDAR,0.035,20,5,2232.4632772631458,normal
TH,MUDAR,0.195,20,5,1870.042747473879,normal
UCB,MUDAR,0.002,20,1,2316.1294671162527,pagerank
Bayesian_UCB,MUDAR,0.001,20,1,1940.829212548769,pagerank
Bayesian_UCB_prior,MUDAR,0.003,20,1,4800.714080687061,pagerank
TH,MUDAR,0.003,20,1,1761.7716506893873,pagerank
TH_prior,MUDAR,0.005,20,1,5407.144053177352,pagerank
UCB,MUDAR,0.002,20,2,1214.0957196342536,pagerank
Bayesian_UCB,MUDAR,0.002,20,2,1543.2831522920246,pagerank
Bayesian_UCB_prior,MUDAR,0.001,20,2,774.6180904010278,pagerank
TH,MUDAR,0.004,20,2,2673.886843892848,pagerank
TH_prior,MUDAR,0.003,20,2,749.7179916578393,pagerank
UCB,MUDAR,0.002,20,3,1801.5478310007577,pagerank
Bayesian_UCB,MUDAR,0.001,20,3,600.6091924018278,pagerank
Bayesian_UCB_prior,MUDAR,0.002,20,3,1241.7692964324292,pagerank
TH,MUDAR,0.003,20,3,1064.7916455566728,pagerank
TH_prior,MUDAR,0.003,20,3,1008.4568058981904,pagerank
UCB,MUDAR,0.002,20,4,2243.653680353069,pagerank
Bayesian_UCB,MUDAR,0.002,20,4,1164.7677098389354,pagerank
