Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAN,41.91,20000,1,184363.0,normal
Bayesian_UCB,MUDAN,38.996,20000,1,189496.0,normal
TH,MUDAN,205.943,20000,1,190330.0,normal
UCB,MUDAN,36.42,20000,2,308030.0,normal
Bayesian_UCB,MUDAN,37.117,20000,2,315330.0,normal
TH,MUDAN,203.652,20000,2,324699.0,normal
UCB,MUDAN,37.268,20000,3,431169.0,normal
Bayesian_UCB,MUDAN,37.235,20000,3,419315.0,normal
TH,MUDAN,199.96,20000,3,448555.0,normal
UCB,MUDAN,35.601,20000,4,523813.0,normal
Bayesian_UCB,MUDAN,35.67,20000,4,514918.0,normal
TH,MUDAN,201.755,20000,4,580437.0,normal
UCB,MUDAN,36.934,20000,5,585411.0,normal
Bayesian_UCB,MUDAN,38.912,20000,5,595690.0,normal
TH,MUDAN,202.277,20000,5,623256.0,normal
UCB,MUDAN,11.844,20000,1,261727.0,pagerank
Bayesian_UCB,MUDAN,14.488,20000,1,217214.0,pagerank
Bayesian_UCB_prior,MUDAN,11.765,20000,1,212757.0,pagerank
TH,MUDAN,13.428,20000,1,223456.0,pagerank
TH_prior,MUDAN,14.156,20000,1,209093.0,pagerank
UCB,MUDAN,17.174,20000,2,475818.0,pagerank
Bayesian_UCB,MUDAN,14.705,20000,2,412402.0,pagerank
Bayesian_UCB_prior,MUDAN,16.708,20000,2,378570.0,pagerank
TH,MUDAN,16.262,20000,2,384487.0,pagerank
TH_prior,MUDAN,16.468,20000,2,377232.0,pagerank
UCB,MUDAN,13.293,20000,3,598975.0,pagerank
Bayesian_UCB,MUDAN,14.095,20000,3,560933.0,pagerank
Bayesian_UCB_prior,MUDAN,11.417,20000,3,529903.0,pagerank
TH,MUDAN,13.989,20000,3,559454.0,pagerank
TH_prior,MUDAN,10.625,20000,3,485368.0,pagerank
UCB,MUDAN,13.571,20000,4,828586.0,pagerank
Bayesian_UCB,MUDAN,10.397,20000,4,618688.0,pagerank
Bayesian_UCB_prior,MUDAN,12.187,20000,4,593069.0,pagerank
TH,MUDAN,15.129,20000,4,607604.0,pagerank
TH_prior,MUDAN,15.954,20000,4,681365.0,pagerank
UCB,MUDAN,10.303,20000,5,824057.0,pagerank
Bayesian_UCB,MUDAN,12.151,20000,5,781609.0,pagerank
Bayesian_UCB_prior,MUDAN,10.852,20000,5,700369.0,pagerank
