Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAR,181.493,80000,1,11319587.169810781,normal
Bayesian_UCB,MUDAR,196.284,80000,1,10301310.974194046,normal
TH,MUDAR,807.36,80000,1,10389157.303543648,normal
UCB,MUDAR,188.863,80000,2,10596655.762752656,normal
Bayesian_UCB,MUDAR,185.422,80000,2,8969313.787894493,normal
TH,MUDAR,803.662,80000,2,7911578.338132813,normal
UCB,MUDAR,175.168,80000,3,8979431.982855268,normal
Bayesian_UCB,MUDAR,185.644,80000,3,7978286.23783937,normal
TH,MUDAR,804.004,80000,3,8343207.890773071,normal
UCB,MUDAR,179.594,80000,4,9512374.007551944,normal
Bayesian_UCB,MUDAR,188.642,80000,4,7397668.431868974,normal
TH,MUDAR,808.477,80000,4,7645666.134755864,normal
UCB,MUDAR,192.402,80000,5,8834775.081402114,normal
Bayesian_UCB,MUDAR,191.353,80000,5,6508536.488261265,normal
TH,MUDAR,807.607,80000,5,6074673.379922598,normal
UCB,MUDAR,83.584,80000,1,14274398.263319314,pagerank
Bayesian_UCB,MUDAR,70.422,80000,1,9893681.913491942,pagerank
Bayesian_UCB_prior,MUDAR,76.62,80000,1,11536581.025544887,pagerank
TH,MUDAR,81.516,80000,1,11387689.562902784,pagerank
TH_prior,MUDAR,82.184,80000,1,11199610.383253682,pagerank
UCB,MUDAR,81.423,80000,2,10070619.286195915,pagerank
Bayesian_UCB,MUDAR,72.568,80000,2,9114852.165799677,pagerank
Bayesian_UCB_prior,MUDAR,75.73,80000,2,9005765.023244273,pagerank
TH,MUDAR,82.469,80000,2,9887592.88388862,pagerank
TH_prior,MUDAR,85.073,80000,2,10650070.624823483,pagerank
UCB,MUDAR,74.821,80000,3,8302874.41032908,pagerank
Bayesian_UCB,MUDAR,88.922,80000,3,9411382.059082702,pagerank
Bayesian_UCB_prior,MUDAR,95.733,80000,3,8415886.72054463,pagerank
TH,MUDAR,78.99,80000,3,7804096.702153078,pagerank
TH_prior,MUDAR,86.869,80000,3,7862552.00230143,pagerank
UCB,MUDAR,93.888,80000,4,9024002.808390975,pagerank
Bayesian_UCB,MUDAR,73.231,80000,4,7172192.959096343,pagerank
Bayesian_UCB_prior,MUDAR,72.282,80000,4,7983809.271597789,pagerank
TH,MUDAR,84.711,80000,4,8186267.071834821,pagerank
TH_prior,MUDAR,81.393,80000,4,8076681.283896697,pagerank
UCB,MUDAR,73.594,80000,5,9444038.917002209,pagerank
Bayesian_UCB,MUDAR,74.61,80000,5,8414409.551025245,pagerank
Bayesian_UCB_prior,MUDAR,74.18,80000,5,7554986.168768899,pagerank
TH,MUDAR,84.162,80000,5,6793067.040569568,pagerank
TH_prior,MUDAR,85.739,80000,5,7229164.525344913,pagerank
UCB,MUDAR,93.209,80000,1,12300095.492241548,degree
Bayesian_UCB,MUDAR,76.274,80000,1,13042137.154081859,degree
Bayesian_UCB_prior,MUDAR,95.871,80000,1,12701714.56179914,degree
TH,MUDAR,89.449,80000,1,11611829.993586443,degree
TH_prior,MUDAR,88.955,80000,1,11907501.514351053,degree
UCB,MUDAR,87.314,80000,2,13448448.97720274,degree
Bayesian_UCB,MUDAR,86.958,80000,2,9676328.144983536,degree
Bayesian_UCB_prior,MUDAR,62.526,80000,2,9764816.921436574,degree
TH,MUDAR,81.318,80000,2,10086610.982997973,degree
TH_prior,MUDAR,89.937,80000,2,10085376.031663489,degree
UCB,MUDAR,97.094,80000,3,9803538.262777014,degree
Bayesian_UCB,MUDAR,80.983,80000,3,9444171.934307186,degree
Bayesian_UCB_prior,MUDAR,81.589,80000,3,9133453.978841064,degree
TH,MUDAR,91.28,80000,3,9541798.811133757,degree
TH_prior,MUDAR,80.132,80000,3,9189569.678426983,degree
UCB,MUDAR,69.07,80000,4,9413743.873535434,degree
Bayesian_UCB,MUDAR,80.62,80000,4,8844681.637657534,degree
Bayesian_UCB_prior,MUDAR,72.648,80000,4,7937471.754244332,degree
TH,MUDAR,93.852,80000,4,8821652.50470147,degree
TH_prior,MUDAR,88.003,80000,4,8966663.779799711,degree
