Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAR,25.745,40000,1,6076106.538921348,pagerank
Bayesian_UCB,MUDAR,27.517,40000,1,5469524.503349844,pagerank
Bayesian_UCB_prior,MUDAR,34.234,40000,1,5972819.629482185,pagerank
UCB,MUDAR,25.922,40000,2,5278530.223423043,pagerank
Bayesian_UCB,MUDAR,25.244,40000,2,4473519.192409686,pagerank
Bayesian_UCB_prior,MUDAR,29.455,40000,2,4532986.019140493,pagerank
UCB,MUDAR,43.865,40000,3,5598039.685135874,pagerank
Bayesian_UCB,MUDAR,31.316,40000,3,4922584.936472002,pagerank
Bayesian_UCB_prior,MUDAR,41.558,40000,3,4584345.088915473,pagerank
UCB,MUDAR,29.575,40000,4,4225967.042237297,pagerank
Bayesian_UCB,MUDAR,34.507,40000,4,3416440.4777971697,pagerank
Bayesian_UCB_prior,MUDAR,25.898,40000,4,4475266.747752323,pagerank
UCB,MUDAR,25.272,40000,5,3784419.4908689484,pagerank
Bayesian_UCB,MUDAR,23.997,40000,5,3620636.675066235,pagerank
Bayesian_UCB_prior,MUDAR,30.443,40000,5,3534994.836034916,pagerank
UCB,MUDAR,32.942,40000,1,6024770.297244678,degree
Bayesian_UCB,MUDAR,23.323,40000,1,5674609.136475391,degree
Bayesian_UCB_prior,MUDAR,28.963,40000,1,5630807.501992389,degree
UCB,MUDAR,35.827,40000,2,5801476.728001784,degree
Bayesian_UCB,MUDAR,24.207,40000,2,4899602.484905373,degree
Bayesian_UCB_prior,MUDAR,32.116,40000,2,5155908.306829685,degree
UCB,MUDAR,19.623,40000,3,4862196.105173499,degree
Bayesian_UCB,MUDAR,27.119,40000,3,4211349.8599734865,degree
Bayesian_UCB_prior,MUDAR,23.259,40000,3,4523764.388822323,degree
UCB,MUDAR,28.709,40000,4,4465474.80457074,degree
Bayesian_UCB,MUDAR,35.927,40000,4,3868050.6903329953,degree
Bayesian_UCB_prior,MUDAR,24.848,40000,4,3793018.303844381,degree
UCB,MUDAR,40.772,40000,5,4259181.065909817,degree
Bayesian_UCB,MUDAR,40.957,40000,5,4533171.1324846605,degree
Bayesian_UCB_prior,MUDAR,32.842,40000,5,3656120.2899060813,degree
UCB,MUDAR,27.638,40000,1,6692780.555653872,voterank
Bayesian_UCB,MUDAR,20.457,40000,1,4995700.108816699,voterank
Bayesian_UCB_prior,MUDAR,28.609,40000,1,6870010.714846851,voterank
UCB,MUDAR,21.646,40000,2,5334990.873467978,voterank
Bayesian_UCB,MUDAR,31.445,40000,2,4738304.891622468,voterank
Bayesian_UCB_prior,MUDAR,29.299,40000,2,4723854.946929641,voterank
UCB,MUDAR,37.833,40000,3,5054161.837709773,voterank
Bayesian_UCB,MUDAR,36.255,40000,3,5275303.273613602,voterank
Bayesian_UCB_prior,MUDAR,43.986,40000,3,4893660.267166545,voterank
UCB,MUDAR,38.916,40000,4,4461068.09488697,voterank
Bayesian_UCB,MUDAR,30.295,40000,4,3970595.900837264,voterank
Bayesian_UCB_prior,MUDAR,24.758,40000,4,4296552.196393668,voterank
UCB,MUDAR,29.384,40000,5,4091799.4341029325,voterank
Bayesian_UCB,MUDAR,24.736,40000,5,3530462.472167513,voterank
Bayesian_UCB_prior,MUDAR,32.852,40000,5,4191911.610256282,voterank
