Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAR,24.874,40000,1,7044742.070956734,pagerank
Bayesian_UCB,MUDAR,20.648,40000,1,4445101.176996235,pagerank
Bayesian_UCB_prior,MUDAR,21.42,40000,1,5455347.446746642,pagerank
UCB,MUDAR,25.107,40000,2,5751089.498792198,pagerank
Bayesian_UCB,MUDAR,25.708,40000,2,4456122.601560693,pagerank
Bayesian_UCB_prior,MUDAR,26.993,40000,2,4823217.1840559235,pagerank
UCB,MUDAR,42.558,40000,3,5609535.651473165,pagerank
Bayesian_UCB,MUDAR,28.972,40000,3,4549436.755178197,pagerank
Bayesian_UCB_prior,MUDAR,29.576,40000,3,4090376.5959136365,pagerank
UCB,MUDAR,38.871,40000,4,4666025.055109055,pagerank
Bayesian_UCB,MUDAR,31.931,40000,4,4409595.285792551,pagerank
Bayesian_UCB_prior,MUDAR,37.755,40000,4,4707321.749296958,pagerank
UCB,MUDAR,37.936,40000,5,4037426.29941619,pagerank
Bayesian_UCB,MUDAR,26.085,40000,5,3632323.250916794,pagerank
Bayesian_UCB_prior,MUDAR,28.446,40000,5,4434305.214447817,pagerank
UCB,MUDAR,42.411,40000,1,6767598.946543885,degree
Bayesian_UCB,MUDAR,28.379,40000,1,6725941.65004031,degree
Bayesian_UCB_prior,MUDAR,25.458,40000,1,4316096.639388926,degree
UCB,MUDAR,28.455,40000,2,6187251.1137311375,degree
Bayesian_UCB,MUDAR,26.839,40000,2,5517887.019926719,degree
Bayesian_UCB_prior,MUDAR,30.228,40000,2,6018980.802979557,degree
UCB,MUDAR,19.719,40000,3,5155545.88612002,degree
Bayesian_UCB,MUDAR,26.08,40000,3,5116690.987708884,degree
Bayesian_UCB_prior,MUDAR,31.8,40000,3,3595324.730008963,degree
UCB,MUDAR,28.165,40000,4,5078402.170295549,degree
Bayesian_UCB,MUDAR,26.593,40000,4,4467318.108209918,degree
Bayesian_UCB_prior,MUDAR,22.836,40000,4,3900506.193890934,degree
UCB,MUDAR,30.085,40000,5,4916246.039334406,degree
Bayesian_UCB,MUDAR,37.219,40000,5,4080242.148838075,degree
Bayesian_UCB_prior,MUDAR,25.344,40000,5,3693450.0577099677,degree
UCB,MUDAR,29.845,40000,1,6758632.6399020925,voterank
Bayesian_UCB,MUDAR,26.35,40000,1,6277393.822992846,voterank
Bayesian_UCB_prior,MUDAR,28.853,40000,1,6217316.718180255,voterank
UCB,MUDAR,47.951,40000,2,6157763.98457711,voterank
Bayesian_UCB,MUDAR,44.011,40000,2,5721044.536868636,voterank
Bayesian_UCB_prior,MUDAR,42.857,40000,2,5978782.713732707,voterank
UCB,MUDAR,44.644,40000,3,5991491.129369657,voterank
Bayesian_UCB,MUDAR,24.641,40000,3,4184570.693451478,voterank
Bayesian_UCB_prior,MUDAR,27.621,40000,3,4817526.756288289,voterank
