Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,GIDM,9.475,20000,2,578394.0,pagerank
Bayesian_UCB_prior,GIDM,7.679,20000,2,419426.0,pagerank
TH_prior,GIDM,8.727,20000,2,390741.0,pagerank
UCB,GIDM,7.213,20000,3,588886.0,pagerank
Bayesian_UCB_prior,GIDM,8.179,20000,3,475775.0,pagerank
TH_prior,GIDM,9.648,20000,3,465060.0,pagerank
UCB,GIDM,9.462,20000,4,696771.0,pagerank
Bayesian_UCB_prior,GIDM,8.954,20000,4,559596.0,pagerank
TH_prior,GIDM,14.605,20000,4,508595.0,pagerank
UCB,GIDM,15.351,20000,5,826324.0,pagerank
Bayesian_UCB_prior,GIDM,12.455,20000,5,671987.0,pagerank
TH_prior,GIDM,13.423,20000,5,617424.0,pagerank
UCB,GIDM,9.39,20000,2,492272.0,degree
Bayesian_UCB_prior,GIDM,12.298,20000,2,439001.0,degree
TH_prior,GIDM,13.338,20000,2,432215.0,degree
UCB,GIDM,13.639,20000,3,761586.0,degree
Bayesian_UCB_prior,GIDM,13.005,20000,3,564745.0,degree
TH_prior,GIDM,11.27,20000,3,485204.0,degree
UCB,GIDM,16.473,20000,4,829373.0,degree
Bayesian_UCB_prior,GIDM,14.999,20000,4,562901.0,degree
TH_prior,GIDM,19.562,20000,4,616953.0,degree
UCB,GIDM,22.311,20000,5,887997.0,degree
Bayesian_UCB_prior,GIDM,15.323,20000,5,701857.0,degree
TH_prior,GIDM,16.849,20000,5,636284.0,degree
UCB,GIDM,13.136,20000,2,458260.0,voterank
Bayesian_UCB_prior,GIDM,12.633,20000,2,396166.0,voterank
TH_prior,GIDM,13.323,20000,2,397091.0,voterank
UCB,GIDM,13.915,20000,3,714773.0,voterank
Bayesian_UCB_prior,GIDM,13.34,20000,3,623173.0,voterank
TH_prior,GIDM,15.871,20000,3,540967.0,voterank
UCB,GIDM,12.408,20000,4,693393.0,voterank
Bayesian_UCB_prior,GIDM,12.234,20000,4,542051.0,voterank
TH_prior,GIDM,14.379,20000,4,591630.0,voterank
UCB,GIDM,17.452,20000,5,856711.0,voterank
Bayesian_UCB_prior,GIDM,13.126,20000,5,613839.0,voterank
TH_prior,GIDM,18.778,20000,5,645626.0,voterank
