Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAN,8.457,20000,2,447768.0,pagerank
Bayesian_UCB_prior,MUDAN,8.141,20000,2,397762.0,pagerank
TH_prior,MUDAN,8.491,20000,2,351165.0,pagerank
UCB,MUDAN,10.501,20000,3,655251.0,pagerank
Bayesian_UCB_prior,MUDAN,7.822,20000,3,486189.0,pagerank
TH_prior,MUDAN,8.671,20000,3,487106.0,pagerank
UCB,MUDAN,13.266,20000,4,727965.0,pagerank
Bayesian_UCB_prior,MUDAN,8.402,20000,4,589420.0,pagerank
TH_prior,MUDAN,8.778,20000,4,529548.0,pagerank
UCB,MUDAN,11.72,20000,5,762780.0,pagerank
Bayesian_UCB_prior,MUDAN,7.077,20000,5,685398.0,pagerank
TH_prior,MUDAN,7.801,20000,5,669451.0,pagerank
UCB,MUDAN,6.661,20000,2,442979.0,degree
Bayesian_UCB_prior,MUDAN,5.796,20000,2,364116.0,degree
TH_prior,MUDAN,7.351,20000,2,351499.0,degree
UCB,MUDAN,11.126,20000,3,612991.0,degree
Bayesian_UCB_prior,MUDAN,9.385,20000,3,476177.0,degree
TH_prior,MUDAN,8.064,20000,3,449045.0,degree
UCB,MUDAN,8.753,20000,4,723695.0,degree
Bayesian_UCB_prior,MUDAN,7.656,20000,4,575334.0,degree
TH_prior,MUDAN,8.598,20000,4,537992.0,degree
UCB,MUDAN,6.947,20000,5,757426.0,degree
Bayesian_UCB_prior,MUDAN,7.368,20000,5,591290.0,degree
TH_prior,MUDAN,9.031,20000,5,666852.0,degree
UCB,MUDAN,6.441,20000,2,448844.0,voterank
Bayesian_UCB_prior,MUDAN,7.228,20000,2,360670.0,voterank
TH_prior,MUDAN,9.038,20000,2,324423.0,voterank
UCB,MUDAN,12.807,20000,3,598885.0,voterank
Bayesian_UCB_prior,MUDAN,8.312,20000,3,487433.0,voterank
TH_prior,MUDAN,8.481,20000,3,483343.0,voterank
UCB,MUDAN,6.069,20000,4,715855.0,voterank
Bayesian_UCB_prior,MUDAN,7.564,20000,4,568773.0,voterank
TH_prior,MUDAN,9.726,20000,4,568876.0,voterank
UCB,MUDAN,7.103,20000,5,734030.0,voterank
Bayesian_UCB_prior,MUDAN,7.367,20000,5,621442.0,voterank
TH_prior,MUDAN,9.013,20000,5,603575.0,voterank
