Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAR,7.519,20000,2,397282.79748156125,pagerank
Bayesian_UCB_prior,MUDAR,6.459,20000,2,339815.4300130329,pagerank
TH_prior,MUDAR,8.23,20000,2,317077.904324792,pagerank
UCB,MUDAR,7.024,20000,3,506930.8528124177,pagerank
Bayesian_UCB_prior,MUDAR,6.659,20000,3,453840.67145378183,pagerank
TH_prior,MUDAR,9.294,20000,3,462137.7911608057,pagerank
UCB,MUDAR,7.327,20000,4,620870.6106783446,pagerank
Bayesian_UCB_prior,MUDAR,7.197,20000,4,553443.3823352347,pagerank
TH_prior,MUDAR,8.237,20000,4,542653.5341260501,pagerank
UCB,MUDAR,8.76,20000,5,647969.3400041322,pagerank
Bayesian_UCB_prior,MUDAR,7.654,20000,5,582284.1813429991,pagerank
TH_prior,MUDAR,8.522,20000,5,591412.672345185,pagerank
UCB,MUDAR,8.265,20000,2,430076.2830659924,degree
Bayesian_UCB_prior,MUDAR,6.15,20000,2,373161.871976572,degree
TH_prior,MUDAR,8.196,20000,2,369356.5782528349,degree
UCB,MUDAR,6.899,20000,3,524698.9791852447,degree
Bayesian_UCB_prior,MUDAR,7.633,20000,3,516886.57061180385,degree
TH_prior,MUDAR,8.111,20000,3,478806.91662393743,degree
UCB,MUDAR,7.196,20000,4,636035.4052469181,degree
Bayesian_UCB_prior,MUDAR,6.211,20000,4,567910.7059132499,degree
TH_prior,MUDAR,7.573,20000,4,538018.7273576014,degree
UCB,MUDAR,8.113,20000,5,726031.1710488006,degree
Bayesian_UCB_prior,MUDAR,6.538,20000,5,642783.0637650891,degree
TH_prior,MUDAR,8.323,20000,5,658673.1146226674,degree
UCB,MUDAR,6.092,20000,2,379194.3586537249,voterank
Bayesian_UCB_prior,MUDAR,7.326,20000,2,366533.9166206245,voterank
TH_prior,MUDAR,8.201,20000,2,369463.8075465054,voterank
UCB,MUDAR,4.904,20000,3,553052.1914604595,voterank
Bayesian_UCB_prior,MUDAR,5.928,20000,3,492089.06860257615,voterank
TH_prior,MUDAR,8.584,20000,3,505545.16352125537,voterank
UCB,MUDAR,8.062,20000,4,620675.9242102064,voterank
Bayesian_UCB_prior,MUDAR,6.53,20000,4,532238.3440735561,voterank
TH_prior,MUDAR,12.397,20000,4,591573.4068408405,voterank
UCB,MUDAR,7.086,20000,5,725908.6570429959,voterank
Bayesian_UCB_prior,MUDAR,4.903,20000,5,571908.4929750046,voterank
TH_prior,MUDAR,7.73,20000,5,639525.9921663498,voterank
