Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAR,9.169,20000,2,385759.17409450107,pagerank
Bayesian_UCB_prior,MUDAR,5.818,20000,2,359257.1269861188,pagerank
TH_prior,MUDAR,9.028,20000,2,327759.8946538125,pagerank
UCB,MUDAR,6.933,20000,3,532246.3203180232,pagerank
Bayesian_UCB_prior,MUDAR,8.28,20000,3,461387.2398477605,pagerank
TH_prior,MUDAR,9.658,20000,3,481871.35528122034,pagerank
UCB,MUDAR,11.507,20000,4,601294.6106987989,pagerank
Bayesian_UCB_prior,MUDAR,8.251,20000,4,495839.1424545084,pagerank
TH_prior,MUDAR,10.084,20000,4,525332.7834537983,pagerank
UCB,MUDAR,8.657,20000,5,652560.294185267,pagerank
Bayesian_UCB_prior,MUDAR,7.152,20000,5,616703.2655447157,pagerank
TH_prior,MUDAR,9.515,20000,5,583711.7258363401,pagerank
UCB,MUDAR,6.178,20000,2,395259.81716747687,degree
Bayesian_UCB_prior,MUDAR,7.326,20000,2,334552.5553657251,degree
TH_prior,MUDAR,9.151,20000,2,332732.63092715346,degree
UCB,MUDAR,11.693,20000,3,526535.6378031797,degree
Bayesian_UCB_prior,MUDAR,7.784,20000,3,393380.9823830468,degree
TH_prior,MUDAR,8.755,20000,3,429155.5502526212,degree
UCB,MUDAR,13.364,20000,4,652860.2787920807,degree
Bayesian_UCB_prior,MUDAR,8.336,20000,4,466787.92089996755,degree
TH_prior,MUDAR,9.663,20000,4,529505.1570052938,degree
UCB,MUDAR,13.063,20000,5,687240.46544621,degree
Bayesian_UCB_prior,MUDAR,9.471,20000,5,563765.1302556612,degree
TH_prior,MUDAR,8.483,20000,5,530799.1401910248,degree
UCB,MUDAR,12.039,20000,2,411006.9497272595,voterank
Bayesian_UCB_prior,MUDAR,7.037,20000,2,321292.1947487508,voterank
TH_prior,MUDAR,9.126,20000,2,341953.7834820959,voterank
UCB,MUDAR,11.165,20000,3,528880.944001725,voterank
Bayesian_UCB_prior,MUDAR,8.001,20000,3,419891.93465336517,voterank
TH_prior,MUDAR,7.448,20000,3,427275.20620362717,voterank
UCB,MUDAR,5.177,20000,4,584690.7785575658,voterank
Bayesian_UCB_prior,MUDAR,8.996,20000,4,541019.8221246259,voterank
TH_prior,MUDAR,8.156,20000,4,483265.60524589935,voterank
UCB,MUDAR,8.38,20000,5,649634.8263356287,voterank
Bayesian_UCB_prior,MUDAR,8.329,20000,5,567460.8275592978,voterank
TH_prior,MUDAR,10.37,20000,5,529604.1278733696,voterank
