,Bandit,Auction,Time (s),T,k,Revenue,armset
0,UCB,MUDAN,6.441,20000,2,448844.0,voterank
1,UCB,MUDAR,12.039,20000,2,411006.9497272595,voterank
2,UCB,GIDM,12.174,20000,2,509786.0,pagerank
3,UCB,MUDAN,10.501,20000,3,655251.0,pagerank
4,UCB,MUDAR,6.933,20000,3,532246.3203180232,pagerank
5,UCB,GIDM,13.574,20000,3,671116.0,pagerank
6,UCB,MUDAN,13.266,20000,4,727965.0,pagerank
7,UCB,MUDAR,13.364,20000,4,652860.2787920807,degree
8,UCB,GIDM,10.358,20000,4,710433.0,pagerank
9,UCB,MUDAN,11.72,20000,5,762780.0,pagerank
10,UCB,MUDAR,13.063,20000,5,687240.46544621,degree
11,UCB,GIDM,9.93,20000,5,737166.0,degree
