Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,GIDM,27.11,40000,2,899249.0,pagerank
Bayesian_UCB_prior,GIDM,29.43,40000,2,900383.0,pagerank
TH_prior,GIDM,29.899,40000,2,853548.0,pagerank
UCB,GIDM,30.256,40000,3,1251034.0,pagerank
Bayesian_UCB_prior,GIDM,30.243,40000,3,1078137.0,pagerank
TH_prior,GIDM,34.261,40000,3,1112183.0,pagerank
UCB,GIDM,30.74,40000,4,1405606.0,pagerank
Bayesian_UCB_prior,GIDM,34.707,40000,4,1220215.0,pagerank
TH_prior,GIDM,30.726,40000,4,1203406.0,pagerank
UCB,GIDM,37.837,40000,5,1457228.0,pagerank
Bayesian_UCB_prior,GIDM,38.441,40000,5,1323205.0,pagerank
TH_prior,GIDM,36.354,40000,5,1191905.0,pagerank
UCB,GIDM,29.22,40000,2,1036299.0,degree
Bayesian_UCB_prior,GIDM,42.362,40000,2,975499.0,degree
TH_prior,GIDM,48.4,40000,2,1012851.0,degree
UCB,GIDM,37.97,40000,3,1329484.0,degree
Bayesian_UCB_prior,GIDM,34.99,40000,3,1088642.0,degree
TH_prior,GIDM,34.269,40000,3,998711.0,degree
UCB,GIDM,40.284,40000,4,1433781.0,degree
Bayesian_UCB_prior,GIDM,39.972,40000,4,1427196.0,degree
TH_prior,GIDM,37.431,40000,4,1254856.0,degree
UCB,GIDM,34.061,40000,5,1607106.0,degree
Bayesian_UCB_prior,GIDM,36.378,40000,5,1329727.0,degree
TH_prior,GIDM,31.323,40000,5,1326873.0,degree
UCB,GIDM,28.803,40000,2,1103737.0,voterank
Bayesian_UCB_prior,GIDM,34.736,40000,2,939586.0,voterank
TH_prior,GIDM,35.729,40000,2,848813.0,voterank
UCB,GIDM,55.234,40000,3,1320810.0,voterank
Bayesian_UCB_prior,GIDM,42.066,40000,3,1207499.0,voterank
TH_prior,GIDM,37.358,40000,3,1174611.0,voterank
UCB,GIDM,34.787,40000,4,1466712.0,voterank
Bayesian_UCB_prior,GIDM,36.498,40000,4,1293688.0,voterank
TH_prior,GIDM,34.9,40000,4,1284198.0,voterank
UCB,GIDM,42.495,40000,5,1592477.0,voterank
Bayesian_UCB_prior,GIDM,44.938,40000,5,1400806.0,voterank
TH_prior,GIDM,37.176,40000,5,1208690.0,voterank
