Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAN,35.188,40000,2,778236.0,pagerank
Bayesian_UCB_prior,MUDAN,35.653,40000,2,716037.0,pagerank
TH_prior,MUDAN,44.791,40000,2,723637.0,pagerank
UCB,MUDAN,25.817,40000,3,1219958.0,pagerank
Bayesian_UCB_prior,MUDAN,37.754,40000,3,1063098.0,pagerank
TH_prior,MUDAN,40.149,40000,3,939482.0,pagerank
UCB,MUDAN,32.197,40000,4,1326723.0,pagerank
Bayesian_UCB_prior,MUDAN,38.327,40000,4,1204068.0,pagerank
TH_prior,MUDAN,36.718,40000,4,1240344.0,pagerank
UCB,MUDAN,24.658,40000,5,1541320.0,pagerank
Bayesian_UCB_prior,MUDAN,39.548,40000,5,1410366.0,pagerank
TH_prior,MUDAN,35.617,40000,5,1373413.0,pagerank
UCB,MUDAN,52.192,40000,2,862005.0,degree
Bayesian_UCB_prior,MUDAN,42.184,40000,2,759315.0,degree
TH_prior,MUDAN,36.522,40000,2,755841.0,degree
UCB,MUDAN,54.092,40000,3,1391362.0,degree
Bayesian_UCB_prior,MUDAN,38.218,40000,3,1076929.0,degree
TH_prior,MUDAN,34.575,40000,3,1018801.0,degree
UCB,MUDAN,45.193,40000,4,1371569.0,degree
Bayesian_UCB_prior,MUDAN,32.864,40000,4,1170351.0,degree
TH_prior,MUDAN,41.301,40000,4,1241534.0,degree
UCB,MUDAN,33.779,40000,5,1665826.0,degree
Bayesian_UCB_prior,MUDAN,34.979,40000,5,1472949.0,degree
TH_prior,MUDAN,44.231,40000,5,1547963.0,degree
UCB,MUDAN,37.092,40000,2,853886.0,voterank
Bayesian_UCB_prior,MUDAN,34.2,40000,2,725709.0,voterank
TH_prior,MUDAN,33.512,40000,2,783595.0,voterank
UCB,MUDAN,28.507,40000,3,1217541.0,voterank
Bayesian_UCB_prior,MUDAN,38.399,40000,3,1101257.0,voterank
TH_prior,MUDAN,30.111,40000,3,1028731.0,voterank
UCB,MUDAN,29.766,40000,4,1452074.0,voterank
Bayesian_UCB_prior,MUDAN,35.749,40000,4,1252398.0,voterank
TH_prior,MUDAN,38.505,40000,4,1200958.0,voterank
UCB,MUDAN,41.395,40000,5,1745619.0,voterank
Bayesian_UCB_prior,MUDAN,36.216,40000,5,1464070.0,voterank
TH_prior,MUDAN,34.827,40000,5,1472874.0,voterank
