Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,GIDM,156.444,60000,2,1220186.0,normal
Bayesian_UCB,GIDM,157.487,60000,2,1197149.0,normal
TH,GIDM,633.096,60000,2,1150614.0,normal
UCB,GIDM,149.784,60000,3,1455071.0,normal
Bayesian_UCB,GIDM,158.485,60000,3,1458529.0,normal
TH,GIDM,634.62,60000,3,1539471.0,normal
UCB,GIDM,152.775,60000,4,1715981.0,normal
Bayesian_UCB,GIDM,158.492,60000,4,1614673.0,normal
TH,GIDM,633.868,60000,4,1820589.0,normal
UCB,GIDM,150.494,60000,5,1830918.0,normal
Bayesian_UCB,GIDM,158.153,60000,5,1846079.0,normal
TH,GIDM,631.586,60000,5,1620663.0,normal
UCB,GIDM,72.781,60000,2,1675779.0,pagerank
Bayesian_UCB,GIDM,62.935,60000,2,1435039.0,pagerank
Bayesian_UCB_prior,GIDM,57.447,60000,2,1326890.0,pagerank
TH,GIDM,61.267,60000,2,1197187.0,pagerank
TH_prior,GIDM,60.321,60000,2,1274863.0,pagerank
UCB,GIDM,87.139,60000,3,2146899.0,pagerank
Bayesian_UCB,GIDM,64.46,60000,3,1660945.0,pagerank
Bayesian_UCB_prior,GIDM,65.87,60000,3,1754733.0,pagerank
TH,GIDM,75.13,60000,3,1472711.0,pagerank
TH_prior,GIDM,61.581,60000,3,1569288.0,pagerank
UCB,GIDM,70.321,60000,4,2278291.0,pagerank
Bayesian_UCB,GIDM,66.025,60000,4,1939327.0,pagerank
Bayesian_UCB_prior,GIDM,60.857,60000,4,1967661.0,pagerank
TH,GIDM,68.033,60000,4,2004744.0,pagerank
TH_prior,GIDM,72.492,60000,4,1874361.0,pagerank
UCB,GIDM,63.115,60000,5,2210767.0,pagerank
Bayesian_UCB,GIDM,59.748,60000,5,2026083.0,pagerank
Bayesian_UCB_prior,GIDM,67.282,60000,5,2143981.0,pagerank
TH,GIDM,72.222,60000,5,2070346.0,pagerank
TH_prior,GIDM,66.154,60000,5,2112885.0,pagerank
UCB,GIDM,91.684,60000,2,1751086.0,degree
Bayesian_UCB,GIDM,69.912,60000,2,1464055.0,degree
Bayesian_UCB_prior,GIDM,69.383,60000,2,1474104.0,degree
TH,GIDM,72.644,60000,2,1393315.0,degree
TH_prior,GIDM,74.52,60000,2,1466069.0,degree
UCB,GIDM,80.894,60000,3,2088102.0,degree
Bayesian_UCB,GIDM,63.863,60000,3,1630653.0,degree
Bayesian_UCB_prior,GIDM,57.819,60000,3,1700805.0,degree
TH,GIDM,73.176,60000,3,1679814.0,degree
TH_prior,GIDM,72.813,60000,3,1617513.0,degree
UCB,GIDM,80.839,60000,4,2658086.0,degree
Bayesian_UCB,GIDM,67.25,60000,4,1900827.0,degree
Bayesian_UCB_prior,GIDM,70.241,60000,4,2199728.0,degree
TH,GIDM,70.32,60000,4,1887175.0,degree
TH_prior,GIDM,74.211,60000,4,1914356.0,degree
UCB,GIDM,80.064,60000,5,2834615.0,degree
Bayesian_UCB,GIDM,63.808,60000,5,2037843.0,degree
Bayesian_UCB_prior,GIDM,61.5,60000,5,2235362.0,degree
TH,GIDM,70.73,60000,5,2232355.0,degree
TH_prior,GIDM,74.06,60000,5,2067488.0,degree
UCB,GIDM,74.928,60000,2,1846335.0,voterank
Bayesian_UCB,GIDM,59.864,60000,2,1350777.0,voterank
Bayesian_UCB_prior,GIDM,62.475,60000,2,1542724.0,voterank
TH,GIDM,75.486,60000,2,1447195.0,voterank
TH_prior,GIDM,71.405,60000,2,1352932.0,voterank
UCB,GIDM,85.786,60000,3,2208170.0,voterank
Bayesian_UCB,GIDM,74.373,60000,3,1852449.0,voterank
Bayesian_UCB_prior,GIDM,65.442,60000,3,1738743.0,voterank
TH,GIDM,75.09,60000,3,1679226.0,voterank
TH_prior,GIDM,77.512,60000,3,1770157.0,voterank
UCB,GIDM,64.766,60000,4,2354869.0,voterank
Bayesian_UCB,GIDM,71.32,60000,4,2081481.0,voterank
Bayesian_UCB_prior,GIDM,68.655,60000,4,2000935.0,voterank
TH,GIDM,67.196,60000,4,1878466.0,voterank
TH_prior,GIDM,72.259,60000,4,2076226.0,voterank
UCB,GIDM,88.49,60000,5,2959281.0,voterank
Bayesian_UCB,GIDM,68.389,60000,5,2163371.0,voterank
