Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,GIDM,165.321,60000,2,1437178.0,normal
Bayesian_UCB,GIDM,161.582,60000,2,1217342.0,normal
TH_prior,GIDM,618.451,60000,2,1135783.0,normal
UCB,GIDM,155.343,60000,3,1666317.0,normal
Bayesian_UCB,GIDM,154.047,60000,3,1516990.0,normal
TH_prior,GIDM,631.002,60000,3,1583870.0,normal
UCB,GIDM,149.004,60000,4,1815358.0,normal
Bayesian_UCB,GIDM,151.243,60000,4,1693241.0,normal
TH_prior,GIDM,631.564,60000,4,1567200.0,normal
UCB,GIDM,151.551,60000,5,1953070.0,normal
Bayesian_UCB,GIDM,157.673,60000,5,1863711.0,normal
TH_prior,GIDM,619.415,60000,5,1720718.0,normal
UCB,GIDM,62.602,60000,2,1412016.0,pagerank
Bayesian_UCB,GIDM,66.366,60000,2,1260302.0,pagerank
Bayesian_UCB_prior,GIDM,60.339,60000,2,1274443.0,pagerank
TH_prior,GIDM,65.739,60000,2,1114744.0,pagerank
TH_prior,GIDM,67.871,60000,2,1180108.0,pagerank
UCB,GIDM,80.47,60000,3,1762557.0,pagerank
Bayesian_UCB,GIDM,70.4,60000,3,1601312.0,pagerank
Bayesian_UCB_prior,GIDM,66.289,60000,3,1621125.0,pagerank
TH_prior,GIDM,76.277,60000,3,1484391.0,pagerank
TH_prior,GIDM,71.995,60000,3,1526776.0,pagerank
UCB,GIDM,81.844,60000,4,2159185.0,pagerank
Bayesian_UCB,GIDM,54.169,60000,4,1615810.0,pagerank
Bayesian_UCB_prior,GIDM,61.886,60000,4,1613076.0,pagerank
TH_prior,GIDM,68.537,60000,4,1767122.0,pagerank
TH_prior,GIDM,64.037,60000,4,1594100.0,pagerank
UCB,GIDM,79.067,60000,5,1936507.0,pagerank
Bayesian_UCB,GIDM,72.49,60000,5,1798482.0,pagerank
Bayesian_UCB_prior,GIDM,67.174,60000,5,2013573.0,pagerank
TH_prior,GIDM,81.951,60000,5,1811302.0,pagerank
TH_prior,GIDM,64.669,60000,5,1760101.0,pagerank
UCB,GIDM,56.228,60000,2,1391220.0,degree
Bayesian_UCB,GIDM,61.631,60000,2,1101466.0,degree
Bayesian_UCB_prior,GIDM,65.751,60000,2,1205657.0,degree
TH_prior,GIDM,84.737,60000,2,1183418.0,degree
TH_prior,GIDM,69.372,60000,2,1215408.0,degree
UCB,GIDM,65.995,60000,3,1901832.0,degree
Bayesian_UCB,GIDM,69.047,60000,3,1460071.0,degree
Bayesian_UCB_prior,GIDM,72.69,60000,3,1548562.0,degree
TH_prior,GIDM,79.571,60000,3,1549029.0,degree
TH_prior,GIDM,68.117,60000,3,1480258.0,degree
UCB,GIDM,71.998,60000,4,1949373.0,degree
Bayesian_UCB,GIDM,74.444,60000,4,1796717.0,degree
Bayesian_UCB_prior,GIDM,61.445,60000,4,1767247.0,degree
TH_prior,GIDM,67.912,60000,4,1457848.0,degree
TH_prior,GIDM,82.969,60000,4,1709829.0,degree
UCB,GIDM,55.218,60000,5,2002143.0,degree
Bayesian_UCB,GIDM,62.154,60000,5,1756630.0,degree
Bayesian_UCB_prior,GIDM,59.086,60000,5,1894757.0,degree
TH_prior,GIDM,77.017,60000,5,1898733.0,degree
TH_prior,GIDM,74.774,60000,5,1873263.0,degree
UCB,GIDM,77.274,60000,2,1835719.0,voterank
Bayesian_UCB,GIDM,64.358,60000,2,1281372.0,voterank
Bayesian_UCB_prior,GIDM,57.039,60000,2,1236410.0,voterank
TH_prior,GIDM,77.532,60000,2,1190675.0,voterank
TH_prior,GIDM,69.784,60000,2,1217670.0,voterank
UCB,GIDM,70.027,60000,3,2149290.0,voterank
Bayesian_UCB,GIDM,58.665,60000,3,1642197.0,voterank
Bayesian_UCB_prior,GIDM,69.385,60000,3,1580290.0,voterank
TH_prior,GIDM,69.988,60000,3,1366277.0,voterank
TH_prior,GIDM,74.055,60000,3,1595157.0,voterank
UCB,GIDM,68.287,60000,4,1790021.0,voterank
Bayesian_UCB,GIDM,71.928,60000,4,1796322.0,voterank
Bayesian_UCB_prior,GIDM,66.007,60000,4,1704079.0,voterank
TH_prior,GIDM,77.525,60000,4,1692710.0,voterank
TH_prior,GIDM,70.191,60000,4,1678537.0,voterank
UCB,GIDM,70.383,60000,5,2304100.0,voterank
Bayesian_UCB,GIDM,75.107,60000,5,1976736.0,voterank
Bayesian_UCB_prior,GIDM,67.157,60000,5,2001315.0,voterank
TH_prior,GIDM,70.12,60000,5,1730642.0,voterank
TH_prior,GIDM,86.835,60000,5,2017221.0,voterank
UCB,GIDM,67.48,60000,2,1629895.0,shapley_degree
Bayesian_UCB,GIDM,73.47,60000,2,1308385.0,shapley_degree
Bayesian_UCB_prior,GIDM,63.53,60000,2,1194761.0,shapley_degree
TH_prior,GIDM,74.14,60000,2,1256490.0,shapley_degree
TH_prior,GIDM,70.424,60000,2,1209885.0,shapley_degree
UCB,GIDM,81.313,60000,3,1750531.0,shapley_degree
Bayesian_UCB,GIDM,63.082,60000,3,1495422.0,shapley_degree
Bayesian_UCB_prior,GIDM,65.936,60000,3,1531457.0,shapley_degree
TH_prior,GIDM,71.958,60000,3,1501629.0,shapley_degree
TH_prior,GIDM,67.276,60000,3,1423496.0,shapley_degree
UCB,GIDM,88.424,60000,4,2315599.0,shapley_degree
Bayesian_UCB,GIDM,68.924,60000,4,1801606.0,shapley_degree
Bayesian_UCB_prior,GIDM,73.155,60000,4,1692120.0,shapley_degree
TH_prior,GIDM,71.445,60000,4,1731566.0,shapley_degree
TH_prior,GIDM,66.363,60000,4,1708621.0,shapley_degree
UCB,GIDM,71.7,60000,5,2150124.0,shapley_degree
Bayesian_UCB,GIDM,64.81,60000,5,1957220.0,shapley_degree
Bayesian_UCB_prior,GIDM,74.034,60000,5,1905503.0,shapley_degree
TH_prior,GIDM,68.081,60000,5,1786434.0,shapley_degree
TH_prior,GIDM,76.867,60000,5,1896934.0,shapley_degree
UCB,GIDM,80.692,60000,2,1435162.0,shapley_threshold
Bayesian_UCB,GIDM,72.262,60000,2,1338361.0,shapley_threshold
Bayesian_UCB_prior,GIDM,71.475,60000,2,1277613.0,shapley_threshold
TH_prior,GIDM,69.763,60000,2,1160062.0,shapley_threshold
TH_prior,GIDM,66.733,60000,2,1249894.0,shapley_threshold
