Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAN,158.07,60000,2,1111666.0,normal
Bayesian_UCB,MUDAN,154.986,60000,2,1021156.0,normal
TH,MUDAN,624.74,60000,2,1032739.0,normal
UCB,MUDAN,147.624,60000,3,1435982.0,normal
Bayesian_UCB,MUDAN,145.093,60000,3,1419382.0,normal
TH,MUDAN,620.529,60000,3,1405265.0,normal
UCB,MUDAN,141.358,60000,4,1683642.0,normal
Bayesian_UCB,MUDAN,152.307,60000,4,1701370.0,normal
TH,MUDAN,609.645,60000,4,1599480.0,normal
UCB,MUDAN,149.347,60000,5,2047429.0,normal
Bayesian_UCB,MUDAN,149.013,60000,5,1917340.0,normal
TH,MUDAN,636.783,60000,5,1987962.0,normal
UCB,MUDAN,67.845,60000,2,1303048.0,pagerank
Bayesian_UCB,MUDAN,65.884,60000,2,1174695.0,pagerank
Bayesian_UCB_prior,MUDAN,62.436,60000,2,1155458.0,pagerank
TH,MUDAN,64.986,60000,2,1211962.0,pagerank
TH_prior,MUDAN,75.416,60000,2,1151527.0,pagerank
UCB,MUDAN,52.18,60000,3,1855929.0,pagerank
Bayesian_UCB,MUDAN,60.934,60000,3,1517543.0,pagerank
Bayesian_UCB_prior,MUDAN,67.535,60000,3,1503237.0,pagerank
TH,MUDAN,62.047,60000,3,1592662.0,pagerank
TH_prior,MUDAN,66.228,60000,3,1487109.0,pagerank
UCB,MUDAN,74.226,60000,4,2526954.0,pagerank
Bayesian_UCB,MUDAN,69.617,60000,4,1983499.0,pagerank
Bayesian_UCB_prior,MUDAN,63.333,60000,4,2036159.0,pagerank
TH,MUDAN,62.766,60000,4,1764069.0,pagerank
TH_prior,MUDAN,62.578,60000,4,1851339.0,pagerank
UCB,MUDAN,60.596,60000,5,2433470.0,pagerank
Bayesian_UCB,MUDAN,62.683,60000,5,2191509.0,pagerank
Bayesian_UCB_prior,MUDAN,64.772,60000,5,2135109.0,pagerank
TH,MUDAN,66.104,60000,5,2075447.0,pagerank
TH_prior,MUDAN,67.465,60000,5,2068326.0,pagerank
UCB,MUDAN,66.53,60000,2,1325242.0,degree
Bayesian_UCB,MUDAN,67.745,60000,2,1144853.0,degree
