Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAN,157.377,60000,2,1073205.0,normal
Bayesian_UCB,MUDAN,146.239,60000,2,1034821.0,normal
TH_prior,MUDAN,647.664,60000,2,1019541.0,normal
UCB,MUDAN,158.971,60000,3,1525747.0,normal
Bayesian_UCB,MUDAN,169.316,60000,3,1415313.0,normal
TH_prior,MUDAN,735.572,60000,3,1488708.0,normal
UCB,MUDAN,178.089,60000,4,1884341.0,normal
Bayesian_UCB,MUDAN,170.701,60000,4,1715707.0,normal
TH_prior,MUDAN,610.254,60000,4,1732837.0,normal
UCB,MUDAN,144.21,60000,5,2081341.0,normal
Bayesian_UCB,MUDAN,151.588,60000,5,1986506.0,normal
TH_prior,MUDAN,627.085,60000,5,1917425.0,normal
UCB,MUDAN,56.804,60000,2,1225255.0,pagerank
Bayesian_UCB,MUDAN,60.737,60000,2,1127442.0,pagerank
Bayesian_UCB_prior,MUDAN,56.546,60000,2,1105228.0,pagerank
TH_prior,MUDAN,67.762,60000,2,991151.0,pagerank
TH_prior,MUDAN,64.278,60000,2,1058595.0,pagerank
UCB,MUDAN,60.568,60000,3,1490881.0,pagerank
Bayesian_UCB,MUDAN,62.487,60000,3,1496831.0,pagerank
Bayesian_UCB_prior,MUDAN,58.621,60000,3,1432309.0,pagerank
TH_prior,MUDAN,63.175,60000,3,1360936.0,pagerank
TH_prior,MUDAN,67.703,60000,3,1390678.0,pagerank
UCB,MUDAN,65.894,60000,4,2193544.0,pagerank
Bayesian_UCB,MUDAN,62.142,60000,4,1699457.0,pagerank
Bayesian_UCB_prior,MUDAN,65.583,60000,4,1689640.0,pagerank
TH_prior,MUDAN,58.328,60000,4,1657365.0,pagerank
TH_prior,MUDAN,67.259,60000,4,1739366.0,pagerank
UCB,MUDAN,67.699,60000,5,2007012.0,pagerank
Bayesian_UCB,MUDAN,62.208,60000,5,1966929.0,pagerank
Bayesian_UCB_prior,MUDAN,58.786,60000,5,2006047.0,pagerank
TH_prior,MUDAN,65.889,60000,5,2002739.0,pagerank
TH_prior,MUDAN,64.475,60000,5,1769812.0,pagerank
UCB,MUDAN,51.038,60000,2,1364719.0,degree
Bayesian_UCB,MUDAN,64.935,60000,2,1115619.0,degree
Bayesian_UCB_prior,MUDAN,59.928,60000,2,1047148.0,degree
TH_prior,MUDAN,68.641,60000,2,1118105.0,degree
TH_prior,MUDAN,65.768,60000,2,1078646.0,degree
UCB,MUDAN,72.678,60000,3,1666819.0,degree
Bayesian_UCB,MUDAN,63.527,60000,3,1315836.0,degree
Bayesian_UCB_prior,MUDAN,54.005,60000,3,1472757.0,degree
TH_prior,MUDAN,62.561,60000,3,1367391.0,degree
TH_prior,MUDAN,66.814,60000,3,1415076.0,degree
UCB,MUDAN,61.629,60000,4,1851964.0,degree
Bayesian_UCB,MUDAN,63.536,60000,4,1820104.0,degree
Bayesian_UCB_prior,MUDAN,57.706,60000,4,1811052.0,degree
TH_prior,MUDAN,63.091,60000,4,1811600.0,degree
TH_prior,MUDAN,64.909,60000,4,1764321.0,degree
UCB,MUDAN,82.255,60000,5,2369906.0,degree
Bayesian_UCB,MUDAN,57.968,60000,5,1932942.0,degree
Bayesian_UCB_prior,MUDAN,61.932,60000,5,1942635.0,degree
TH_prior,MUDAN,55.648,60000,5,1816786.0,degree
TH_prior,MUDAN,67.254,60000,5,2089591.0,degree
UCB,MUDAN,54.334,60000,2,1205863.0,voterank
Bayesian_UCB,MUDAN,58.642,60000,2,1035798.0,voterank
Bayesian_UCB_prior,MUDAN,60.391,60000,2,1156234.0,voterank
