Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAR,123.397,60000,2,1000784.9653649895,normal
Bayesian_UCB,MUDAR,132.199,60000,2,958621.8448872035,normal
TH,MUDAR,611.21,60000,2,973311.1924197286,normal
UCB,MUDAR,128.479,60000,3,1250433.2281397576,normal
Bayesian_UCB,MUDAR,135.382,60000,3,1234160.5744541958,normal
TH,MUDAR,611.639,60000,3,1257014.2267312473,normal
UCB,MUDAR,131.698,60000,4,1522253.7952568608,normal
Bayesian_UCB,MUDAR,137.582,60000,4,1468607.4699994745,normal
TH,MUDAR,608.349,60000,4,1470179.7660290834,normal
UCB,MUDAR,133.507,60000,5,1651032.169168285,normal
Bayesian_UCB,MUDAR,139.938,60000,5,1549948.040772987,normal
TH,MUDAR,615.638,60000,5,1758029.9404081702,normal
UCB,MUDAR,57.409,60000,2,1287481.0896922087,pagerank
Bayesian_UCB,MUDAR,53.254,60000,2,1040287.8199874472,pagerank
Bayesian_UCB_prior,MUDAR,55.725,60000,2,1147147.570702637,pagerank
TH,MUDAR,57.98,60000,2,1028694.4188176091,pagerank
TH_prior,MUDAR,58.71,60000,2,1115555.5385992078,pagerank
UCB,MUDAR,55.607,60000,3,1569905.8856396591,pagerank
Bayesian_UCB,MUDAR,58.688,60000,3,1491934.9058541604,pagerank
Bayesian_UCB_prior,MUDAR,57.192,60000,3,1381709.8121457088,pagerank
TH,MUDAR,66.236,60000,3,1393394.9851464524,pagerank
TH_prior,MUDAR,51.847,60000,3,1465866.736145712,pagerank
UCB,MUDAR,60.148,60000,4,1836704.2202131671,pagerank
Bayesian_UCB,MUDAR,56.199,60000,4,1606220.303341154,pagerank
Bayesian_UCB_prior,MUDAR,56.528,60000,4,1725719.4795225274,pagerank
TH,MUDAR,59.117,60000,4,1591582.5094983766,pagerank
TH_prior,MUDAR,62.59,60000,4,1639976.9205513245,pagerank
UCB,MUDAR,67.383,60000,5,2452768.111273811,pagerank
Bayesian_UCB,MUDAR,58.269,60000,5,1874951.5207101328,pagerank
Bayesian_UCB_prior,MUDAR,55.623,60000,5,1911765.7443184035,pagerank
TH,MUDAR,60.2,60000,5,1748885.2389990652,pagerank
TH_prior,MUDAR,60.871,60000,5,1760425.082247944,pagerank
UCB,MUDAR,68.604,60000,2,1190168.9894144512,degree
Bayesian_UCB,MUDAR,57.398,60000,2,1070617.9394360709,degree
Bayesian_UCB_prior,MUDAR,59.528,60000,2,1096871.12639269,degree
TH,MUDAR,62.562,60000,2,1063652.802464901,degree
TH_prior,MUDAR,64.951,60000,2,1111898.2143012164,degree
UCB,MUDAR,65.34,60000,3,1782043.8613604882,degree
Bayesian_UCB,MUDAR,59.148,60000,3,1348297.9662359508,degree
Bayesian_UCB_prior,MUDAR,56.491,60000,3,1483039.9349604526,degree
TH,MUDAR,63.791,60000,3,1357638.5723133525,degree
TH_prior,MUDAR,62.455,60000,3,1386081.5421872276,degree
UCB,MUDAR,69.479,60000,4,2259288.7311267797,degree
Bayesian_UCB,MUDAR,60.311,60000,4,1714932.814170682,degree
Bayesian_UCB_prior,MUDAR,66.11,60000,4,1774906.286740198,degree
TH,MUDAR,53.333,60000,4,1667160.696698473,degree
TH_prior,MUDAR,65.104,60000,4,1698918.7961724736,degree
UCB,MUDAR,74.661,60000,5,2309672.879350168,degree
Bayesian_UCB,MUDAR,52.026,60000,5,1980162.6024261408,degree
Bayesian_UCB_prior,MUDAR,60.271,60000,5,1954742.2910853927,degree
TH,MUDAR,65.554,60000,5,1963034.6740688537,degree
TH_prior,MUDAR,56.573,60000,5,1926163.4493079465,degree
UCB,MUDAR,69.957,60000,2,1431062.87604739,voterank
Bayesian_UCB,MUDAR,57.763,60000,2,1090792.176467368,voterank
Bayesian_UCB_prior,MUDAR,56.456,60000,2,1095546.9896586875,voterank
TH,MUDAR,58.983,60000,2,1070481.3082274422,voterank
TH_prior,MUDAR,67.261,60000,2,1150423.3168295918,voterank
UCB,MUDAR,53.464,60000,3,1588024.5524068058,voterank
Bayesian_UCB,MUDAR,58.676,60000,3,1445466.1989136585,voterank
Bayesian_UCB_prior,MUDAR,57.979,60000,3,1471308.8878123532,voterank
TH,MUDAR,61.848,60000,3,1445020.887181146,voterank
TH_prior,MUDAR,64.775,60000,3,1410125.44679353,voterank
UCB,MUDAR,75.602,60000,4,2113662.7435991024,voterank
Bayesian_UCB,MUDAR,58.486,60000,4,1730059.7369556152,voterank
Bayesian_UCB_prior,MUDAR,58.34,60000,4,1711151.1630118634,voterank
TH,MUDAR,56.169,60000,4,1619668.077011882,voterank
TH_prior,MUDAR,64.416,60000,4,1801353.5057063766,voterank
UCB,MUDAR,71.49,60000,5,2546647.8989611445,voterank
Bayesian_UCB,MUDAR,62.123,60000,5,1966213.1116899415,voterank
Bayesian_UCB_prior,MUDAR,58.489,60000,5,1888956.3645836813,voterank
TH,MUDAR,69.074,60000,5,1905231.4416955935,voterank
TH_prior,MUDAR,66.636,60000,5,2040770.9530759586,voterank
UCB,MUDAR,60.196,60000,2,1228729.9970814788,shapley_degree
Bayesian_UCB,MUDAR,62.547,60000,2,1076062.3677789532,shapley_degree
Bayesian_UCB_prior,MUDAR,53.286,60000,2,1040418.2352651404,shapley_degree
TH,MUDAR,62.869,60000,2,1089014.4277585787,shapley_degree
TH_prior,MUDAR,68.143,60000,2,1050253.0916376095,shapley_degree
UCB,MUDAR,65.652,60000,3,1448850.7699844001,shapley_degree
Bayesian_UCB,MUDAR,49.621,60000,3,1424082.7060626186,shapley_degree
Bayesian_UCB_prior,MUDAR,57.476,60000,3,1347074.492011343,shapley_degree
TH,MUDAR,59.338,60000,3,1301133.4338450977,shapley_degree
TH_prior,MUDAR,63.306,60000,3,1367111.9980255023,shapley_degree
