Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAR,128.087,60000,2,972522.6054777692,normal
Bayesian_UCB,MUDAR,139.236,60000,2,970979.0622967032,normal
TH_prior,MUDAR,614.995,60000,2,958271.3808335977,normal
UCB,MUDAR,139.273,60000,3,1274321.912571212,normal
Bayesian_UCB,MUDAR,144.988,60000,3,1276575.8614719785,normal
TH_prior,MUDAR,643.527,60000,3,1198217.3205146168,normal
UCB,MUDAR,137.274,60000,4,1546090.0440466616,normal
Bayesian_UCB,MUDAR,142.453,60000,4,1511558.4612984671,normal
TH_prior,MUDAR,654.473,60000,4,1460104.7567029502,normal
UCB,MUDAR,148.535,60000,5,1674230.290296905,normal
Bayesian_UCB,MUDAR,149.865,60000,5,1629220.1041421099,normal
TH_prior,MUDAR,651.727,60000,5,1616692.6093727553,normal
UCB,MUDAR,66.585,60000,2,1301837.2093223773,pagerank
Bayesian_UCB,MUDAR,56.302,60000,2,988714.5802272182,pagerank
Bayesian_UCB_prior,MUDAR,58.215,60000,2,1034255.773556937,pagerank
TH_prior,MUDAR,60.72,60000,2,948976.2650138855,pagerank
TH_prior,MUDAR,64.978,60000,2,990849.62399881,pagerank
UCB,MUDAR,56.763,60000,3,1440319.0035317547,pagerank
Bayesian_UCB,MUDAR,61.178,60000,3,1275127.891878615,pagerank
Bayesian_UCB_prior,MUDAR,60.476,60000,3,1225245.7354861833,pagerank
TH_prior,MUDAR,66.261,60000,3,1246767.8862803043,pagerank
TH_prior,MUDAR,68.022,60000,3,1298170.0485624818,pagerank
UCB,MUDAR,58.547,60000,4,1602806.210311534,pagerank
Bayesian_UCB,MUDAR,59.14,60000,4,1556465.8291017239,pagerank
Bayesian_UCB_prior,MUDAR,63.164,60000,4,1554749.0175888836,pagerank
TH_prior,MUDAR,62.616,60000,4,1449923.0864298134,pagerank
TH_prior,MUDAR,68.007,60000,4,1529449.1150767982,pagerank
UCB,MUDAR,84.433,60000,5,2128381.2177521316,pagerank
Bayesian_UCB,MUDAR,63.192,60000,5,1624983.0638667208,pagerank
Bayesian_UCB_prior,MUDAR,64.361,60000,5,1811221.2757270082,pagerank
TH_prior,MUDAR,67.232,60000,5,1789369.042490105,pagerank
TH_prior,MUDAR,68.504,60000,5,1746966.6335287024,pagerank
UCB,MUDAR,75.491,60000,2,1237132.3734593717,degree
Bayesian_UCB,MUDAR,52.623,60000,2,982253.0471066694,degree
Bayesian_UCB_prior,MUDAR,63.126,60000,2,960088.6828086876,degree
TH_prior,MUDAR,75.149,60000,2,955111.3572043133,degree
TH_prior,MUDAR,73.213,60000,2,941676.0397334517,degree
UCB,MUDAR,76.364,60000,3,1277701.3088186816,degree
Bayesian_UCB,MUDAR,62.166,60000,3,1297306.6083340032,degree
Bayesian_UCB_prior,MUDAR,61.247,60000,3,1270532.8925728411,degree
TH_prior,MUDAR,64.883,60000,3,1290899.3600922017,degree
TH_prior,MUDAR,58.756,60000,3,1275423.1031363804,degree
UCB,MUDAR,53.186,60000,4,1906991.736287068,degree
Bayesian_UCB,MUDAR,62.501,60000,4,1438862.998520956,degree
Bayesian_UCB_prior,MUDAR,59.064,60000,4,1431829.015496078,degree
TH_prior,MUDAR,63.638,60000,4,1544222.477833948,degree
TH_prior,MUDAR,66.566,60000,4,1461679.3572699288,degree
UCB,MUDAR,64.385,60000,5,2065158.410177737,degree
Bayesian_UCB,MUDAR,60.654,60000,5,1591897.1539204004,degree
Bayesian_UCB_prior,MUDAR,67.644,60000,5,1747547.625575696,degree
TH_prior,MUDAR,64.257,60000,5,1469565.5752786272,degree
TH_prior,MUDAR,74.764,60000,5,1749074.7739863582,degree
UCB,MUDAR,57.632,60000,2,1252243.105499016,voterank
Bayesian_UCB,MUDAR,62.973,60000,2,1019979.105553052,voterank
Bayesian_UCB_prior,MUDAR,59.473,60000,2,1027493.9706656751,voterank
TH_prior,MUDAR,62.422,60000,2,1009803.1471672726,voterank
TH_prior,MUDAR,64.493,60000,2,951996.4901869845,voterank
UCB,MUDAR,78.966,60000,3,1869212.7393179033,voterank
Bayesian_UCB,MUDAR,66.253,60000,3,1325239.178223861,voterank
Bayesian_UCB_prior,MUDAR,58.805,60000,3,1210786.7739107849,voterank
TH_prior,MUDAR,69.39,60000,3,1280584.8748433732,voterank
TH_prior,MUDAR,60.753,60000,3,1215607.6136362678,voterank
UCB,MUDAR,61.871,60000,4,1985980.2467583762,voterank
Bayesian_UCB,MUDAR,60.151,60000,4,1520426.1862890392,voterank
Bayesian_UCB_prior,MUDAR,61.045,60000,4,1617502.409789268,voterank
TH_prior,MUDAR,70.261,60000,4,1532238.6399217453,voterank
TH_prior,MUDAR,65.18,60000,4,1474248.50462261,voterank
UCB,MUDAR,59.878,60000,5,1798951.0357839274,voterank
Bayesian_UCB,MUDAR,55.004,60000,5,1671186.3981024476,voterank
Bayesian_UCB_prior,MUDAR,58.905,60000,5,1626783.834802265,voterank
TH_prior,MUDAR,71.774,60000,5,1789157.403716959,voterank
TH_prior,MUDAR,58.032,60000,5,1730411.568100143,voterank
UCB,MUDAR,49.943,60000,2,1201383.8107298596,shapley_degree
Bayesian_UCB,MUDAR,62.789,60000,2,971246.8042642265,shapley_degree
Bayesian_UCB_prior,MUDAR,56.269,60000,2,1028883.9798466912,shapley_degree
