,Bandit,Auction,Time (s),T,k,Revenue,armset
0,UCB,MUDAN,66.53,60000,2,1325242.0,degree
1,UCB,MUDAR,69.957,60000,2,1431062.87604739,voterank
2,UCB,GIDM,86.836,60000,2,1894210.0,shapley_threshold
3,UCB,MUDAN,74.962,60000,3,2112222.0,shapley_threshold
4,UCB,MUDAR,65.34,60000,3,1782043.8613604882,degree
5,UCB,GIDM,84.162,60000,3,2335563.0,shapley_degree
6,UCB,MUDAN,73.662,60000,4,2535554.0,voterank
7,UCB,MUDAR,69.479,60000,4,2259288.73112678,degree
8,UCB,GIDM,90.853,60000,4,2720157.0,shapley_degree
9,UCB,MUDAN,75.608,60000,5,2860837.0,degree
10,UCB,MUDAR,71.49,60000,5,2546647.8989611445,voterank
11,UCB,GIDM,88.49,60000,5,2959281.0,voterank
