,Bandit,Auction,Time (s),T,k,Revenue,armset
0,UCB,MUDAN,51.038,60000,2,1364719.0,degree
1,UCB,MUDAR,66.585,60000,2,1301837.209322377,pagerank
2,UCB,GIDM,77.274,60000,2,1835719.0,voterank
3,UCB,MUDAN,63.323,60000,3,1816777.0,shapley_threshold
4,UCB,MUDAR,78.966,60000,3,1869212.7393179035,voterank
5,UCB,GIDM,70.027,60000,3,2149290.0,voterank
6,UCB,MUDAN,85.083,60000,4,2286661.0,shapley_closeness
7,UCB,MUDAR,61.871,60000,4,1985980.246758376,voterank
8,UCB,GIDM,88.424,60000,4,2315599.0,shapley_degree
9,UCB,MUDAN,83.016,60000,5,2555035.0,shapley_degree
10,UCB,MUDAR,84.433,60000,5,2128381.217752132,pagerank
11,UCB,GIDM,76.523,60000,5,2536502.0,shapley_closeness
