Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,GIDM,32.395,40000,2,995626.0,pagerank
UCB,GIDM,28.894,40000,3,1281403.0,pagerank
UCB,GIDM,35.927,40000,4,1690165.0,pagerank
UCB,GIDM,31.496,40000,5,1334863.0,pagerank
UCB,GIDM,38.957,40000,2,1041324.0,degree
UCB,GIDM,32.734,40000,3,1113757.0,degree
UCB,GIDM,31.82,40000,4,1100691.0,degree
UCB,GIDM,29.556,40000,5,1791251.0,degree
UCB,GIDM,28.099,40000,2,916939.0,voterank
UCB,GIDM,37.482,40000,3,1178396.0,voterank
UCB,GIDM,40.742,40000,4,1381216.0,voterank
UCB,GIDM,33.99,40000,5,1529445.0,voterank
UCB,GIDM,24.357,40000,2,799847.0,shapley_degree
UCB,GIDM,38.119,40000,3,1458971.0,shapley_degree
UCB,GIDM,41.761,40000,4,1399555.0,shapley_degree
UCB,GIDM,44.653,40000,5,1516850.0,shapley_degree
