Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,GIDM,8.562,20000,2,487219.0,pagerank
UCB,GIDM,10.336,20000,3,645579.0,pagerank
UCB,GIDM,12.645,20000,4,753338.0,pagerank
UCB,GIDM,8.828,20000,5,740933.0,pagerank
UCB,GIDM,9.922,20000,2,536092.0,degree
UCB,GIDM,12.424,20000,3,588554.0,degree
UCB,GIDM,11.461,20000,4,623170.0,degree
UCB,GIDM,12.023,20000,5,732485.0,degree
UCB,GIDM,11.821,20000,2,592932.0,voterank
UCB,GIDM,11.38,20000,3,615696.0,voterank
UCB,GIDM,11.774,20000,4,700175.0,voterank
UCB,GIDM,9.218,20000,5,809378.0,voterank
UCB,GIDM,10.986,20000,2,553228.0,shapley_degree
UCB,GIDM,12.441,20000,3,645298.0,shapley_degree
UCB,GIDM,15.919,20000,4,660134.0,shapley_degree
UCB,GIDM,14.815,20000,5,718942.0,shapley_degree
