Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAN,10.118,20000,2,441276.0,pagerank
UCB,MUDAN,6.643,20000,3,577877.0,pagerank
UCB,MUDAN,9.421,20000,4,744902.0,pagerank
UCB,MUDAN,6.785,20000,5,807760.0,pagerank
UCB,MUDAN,7.309,20000,2,393169.0,degree
UCB,MUDAN,6.527,20000,3,584896.0,degree
UCB,MUDAN,6.192,20000,4,674174.0,degree
UCB,MUDAN,6.335,20000,5,827918.0,degree
UCB,MUDAN,7.029,20000,2,448709.0,voterank
UCB,MUDAN,6.92,20000,3,639247.0,voterank
UCB,MUDAN,7.166,20000,4,763192.0,voterank
UCB,MUDAN,4.787,20000,5,882950.0,voterank
UCB,MUDAN,4.857,20000,2,403709.0,shapley_degree
UCB,MUDAN,6.707,20000,3,585537.0,shapley_degree
UCB,MUDAN,7.397,20000,4,697587.0,shapley_degree
UCB,MUDAN,6.591,20000,5,806332.0,shapley_degree
