Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAN,5.112,20000,2,397864.0,pagerank
UCB,MUDAN,7.623,20000,3,498054.0,pagerank
UCB,MUDAN,5.59,20000,4,647318.0,pagerank
UCB,MUDAN,8.881,20000,5,778746.0,pagerank
UCB,MUDAN,6.799,20000,2,427115.0,degree
UCB,MUDAN,4.699,20000,3,542766.0,degree
UCB,MUDAN,6.206,20000,4,744826.0,degree
UCB,MUDAN,5.471,20000,5,783525.0,degree
UCB,MUDAN,6.974,20000,2,379015.0,voterank
UCB,MUDAN,7.875,20000,3,598365.0,voterank
UCB,MUDAN,5.779,20000,4,669522.0,voterank
UCB,MUDAN,6.115,20000,5,675378.0,voterank
UCB,MUDAN,5.798,20000,2,423813.0,shapley_degree
UCB,MUDAN,5.695,20000,3,575456.0,shapley_degree
UCB,MUDAN,7.605,20000,4,729721.0,shapley_degree
UCB,MUDAN,4.98,20000,5,771600.0,shapley_degree
