Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAN,35.091,20000,1,184564.0
Bayesian_UCB,MUDAN,34.921,20000,1,180971.0
Bayesian_UCB,MUDAN,33.842,20000,1,182549.0
EPS,MUDAN,23.963,20000,1,175503.0
TH,MUDAN,196.759,20000,1,204144.0
UCB,MUDAN,35.38,20000,2,313120.0
Bayesian_UCB,MUDAN,34.482,20000,2,300323.0
Bayesian_UCB,MUDAN,35.241,20000,2,305520.0
EPS,MUDAN,23.684,20000,2,309458.0
TH,MUDAN,198.241,20000,2,330340.0
UCB,MUDAN,34.864,20000,3,418982.0
Bayesian_UCB,MUDAN,35.276,20000,3,439275.0
Bayesian_UCB,MUDAN,34.373,20000,3,422344.0
EPS,MUDAN,24.358,20000,3,431112.0
TH,MUDAN,201.826,20000,3,464894.0
UCB,MUDAN,33.879,20000,4,518154.0
Bayesian_UCB,MUDAN,33.675,20000,4,500443.0
Bayesian_UCB,MUDAN,34.126,20000,4,515782.0
EPS,MUDAN,23.462,20000,4,512103.0
TH,MUDAN,204.821,20000,4,515827.0
UCB,MUDAN,37.347,20000,5,575270.0
Bayesian_UCB,MUDAN,35.754,20000,5,602985.0
Bayesian_UCB,MUDAN,35.067,20000,5,585299.0
EPS,MUDAN,22.988,20000,5,582638.0
TH,MUDAN,199.395,20000,5,609632.0
