Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAR,36.524,20000,2,290009.1506046657
Bayesian_UCB,MUDAR,34.541,20000,2,290974.96962573275
TH,MUDAR,195.562,20000,2,319920.4557405853
UCB,MUDAR,32.239,20000,3,385629.85262520553
Bayesian_UCB,MUDAR,32.527,20000,3,371434.9399259157
TH,MUDAR,189.844,20000,3,423543.0936059027
UCB,MUDAR,34.761,20000,4,453768.9745870013
Bayesian_UCB,MUDAR,32.961,20000,4,420218.23773065803
TH,MUDAR,192.478,20000,4,450937.5836406495
UCB,MUDAR,32.126,20000,5,506063.7557565265
Bayesian_UCB,MUDAR,34.926,20000,5,493463.4583236499
TH,MUDAR,199.374,20000,5,467946.16906670976
