Bandit,Auction,Time (s),T,k,Revenue
UCB,VCG,34.219,20000,1,29467
Bayesian_UCB,VCG,33.416,20000,1,25210
Bayesian_UCB,VCG,33.002,20000,1,14983
EPS,VCG,23.214,20000,1,16157
TH,VCG,206.658,20000,1,20743
UCB,VCG,34.365,20000,2,-412694
Bayesian_UCB,VCG,34.844,20000,2,-442653
Bayesian_UCB,VCG,35.047,20000,2,-407192
EPS,VCG,24.007,20000,2,-410872
TH,VCG,200.021,20000,2,-439881
UCB,VCG,33.29,20000,3,-1026213
Bayesian_UCB,VCG,33.531,20000,3,-993641
Bayesian_UCB,VCG,34.361,20000,3,-1023319
EPS,VCG,23.663,20000,3,-995152
TH,VCG,204.419,20000,3,-1015137
UCB,VCG,32.374,20000,4,-1675306
Bayesian_UCB,VCG,36.973,20000,4,-1697818
Bayesian_UCB,VCG,36.21,20000,4,-1651358
EPS,VCG,23.429,20000,4,-1674592
TH,VCG,200.789,20000,4,-1891576
UCB,VCG,33.174,20000,5,-2344057
Bayesian_UCB,VCG,33.092,20000,5,-2381376
Bayesian_UCB,VCG,33.999,20000,5,-2407701
EPS,VCG,25.047,20000,5,-2389651
TH,VCG,200.606,20000,5,-2611743
