Bandit,Auction,Time (s),T,k,Revenue
UCB,GIDM,183.65,80000,1,1334561.0
Bayesian_UCB,GIDM,187.1,80000,1,1106777.0
TH,GIDM,819.137,80000,1,1122328.0
UCB,GIDM,196.437,80000,2,1849378.0
Bayesian_UCB,GIDM,197.358,80000,2,1613316.0
TH,GIDM,830.64,80000,2,1817612.0
UCB,GIDM,195.616,80000,3,2163322.0
Bayesian_UCB,GIDM,202.744,80000,3,2005799.0
TH,GIDM,830.621,80000,3,1932625.0
UCB,GIDM,202.768,80000,4,2494297.0
Bayesian_UCB,GIDM,202.646,80000,4,2226203.0
TH,GIDM,822.808,80000,4,1954933.0
UCB,GIDM,208.719,80000,5,2722263.0
Bayesian_UCB,GIDM,207.58,80000,5,2388883.0
TH,GIDM,833.29,80000,5,2132136.0
