Bandit,Auction,Time (s),T,k,Revenue
UCB,GIDM,185.246,80000,1,1501343.0
Bayesian_UCB,GIDM,184.028,80000,1,1151744.0
EPS,GIDM,128.384,80000,1,1038172.0
TH,GIDM,826.178,80000,1,1135247.0
UCB,GIDM,201.705,80000,2,1947706.0
Bayesian_UCB,GIDM,188.955,80000,2,1604730.0
EPS,GIDM,139.394,80000,2,1424896.0
TH,GIDM,848.391,80000,2,1589518.0
UCB,GIDM,194.846,80000,3,2406461.0
Bayesian_UCB,GIDM,198.993,80000,3,1919981.0
EPS,GIDM,150.046,80000,3,1744171.0
TH,GIDM,859.171,80000,3,2191599.0
UCB,GIDM,206.756,80000,4,2707041.0
Bayesian_UCB,GIDM,201.875,80000,4,2317852.0
EPS,GIDM,145.256,80000,4,1965720.0
TH,GIDM,848.878,80000,4,2123321.0
UCB,GIDM,217.141,80000,5,3022707.0
Bayesian_UCB,GIDM,202.484,80000,5,2514920.0
EPS,GIDM,149.362,80000,5,2176849.0
TH,GIDM,851.204,80000,5,2343883.0
