Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAN,218.291,80000,1,881027.0
Bayesian_UCB,MUDAN,219.648,80000,1,824586.0
TH,MUDAN,905.091,80000,1,810711.0
UCB,MUDAN,223.653,80000,2,1476074.0
Bayesian_UCB,MUDAN,212.217,80000,2,1359770.0
TH,MUDAN,869.775,80000,2,1516978.0
UCB,MUDAN,208.406,80000,3,2052550.0
Bayesian_UCB,MUDAN,226.91,80000,3,1911270.0
TH,MUDAN,873.235,80000,3,1886968.0
UCB,MUDAN,206.984,80000,4,2432522.0
Bayesian_UCB,MUDAN,206.545,80000,4,2284119.0
TH,MUDAN,830.496,80000,4,2093181.0
UCB,MUDAN,208.514,80000,5,2801173.0
Bayesian_UCB,MUDAN,214.723,80000,5,2585124.0
TH,MUDAN,842.69,80000,5,2733675.0
