Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAR,173.697,80000,2,1438172.5395664042
Bayesian_UCB,MUDAR,174.942,80000,2,1278320.178184623
TH,MUDAR,805.037,80000,2,1241861.9989281737
UCB,MUDAR,175.733,80000,3,1760103.2451932866
Bayesian_UCB,MUDAR,187.56,80000,3,1639038.5933803648
TH,MUDAR,805.301,80000,3,1692369.7420263228
UCB,MUDAR,185.033,80000,4,2257691.9629518506
Bayesian_UCB,MUDAR,197.07,80000,4,1983469.4110814005
TH,MUDAR,839.119,80000,4,1889449.7592598463
UCB,MUDAR,210.8,80000,5,2529775.4203547644
Bayesian_UCB,MUDAR,201.094,80000,5,2156434.672256703
TH,MUDAR,902.979,80000,5,2117007.583034868
