,Bandit,Auction,Time (s),T,k,Revenue
0,TH,MUDAN,869.775,80000,2,1516978.0
1,UCB,MUDAR,173.697,80000,2,1438172.5395664042
2,UCB,GIDM,196.437,80000,2,1849378.0
3,UCB,MUDAN,208.406,80000,3,2052550.0
4,UCB,MUDAR,175.733,80000,3,1760103.2451932866
5,UCB,GIDM,195.616,80000,3,2163322.0
6,UCB,MUDAN,206.984,80000,4,2432522.0
7,UCB,MUDAR,185.033,80000,4,2257691.9629518506
8,UCB,GIDM,202.768,80000,4,2494297.0
9,UCB,MUDAN,208.514,80000,5,2801173.0
10,UCB,MUDAR,210.8,80000,5,2529775.4203547644
11,UCB,GIDM,208.719,80000,5,2722263.0
