,Bandit,Auction,Time (s),T,k,Revenue
0,UCB,MUDAN,206.789,80000,2,1560810.0
1,UCB,MUDAR,182.592,80000,2,1520907.4472125885
2,UCB,GIDM,201.705,80000,2,1947706.0
3,UCB,MUDAN,200.935,80000,3,2198663.0
4,UCB,MUDAR,182.622,80000,3,1907927.1937722843
5,UCB,GIDM,194.846,80000,3,2406461.0
6,UCB,MUDAN,201.576,80000,4,2554246.0
7,UCB,MUDAR,188.418,80000,4,2226846.784467973
8,UCB,GIDM,206.756,80000,4,2707041.0
9,UCB,MUDAN,213.688,80000,5,2850161.0
10,UCB,MUDAR,187.111,80000,5,2612488.7313729096
11,UCB,GIDM,217.141,80000,5,3022707.0
